,0,1,2
"(2, 10)",77.32,47.0,0.0
"(2, 13)",52.58,49.0,71.88
"(2, 16)",65.98,52.0,46.88
"(2, 19)",63.92,51.5,46.88
"(2, 22)",67.01,50.5,46.88
"(2, 37)",61.86,34.5,0.0
"(2, 40)",65.98,50.5,46.88
"(2, 43)",67.01,51.5,46.88
"(2, 46)",67.01,46.0,46.88
"(2, 49)",87.63,34.0,0.0
"(2, 52)",61.86,69.5,0.0
"(2, 55)",50.52,40.0,81.25
"(2, 58)",58.76,52.0,62.5
"(2, 61)",61.86,50.0,0.0
"(2, 64)",67.01,51.5,46.88
"(2, 67)",67.01,51.0,46.88
"(2, 70)",67.01,51.0,46.88
"(2, 76)",69.07,54.0,0.0
"(2, 79)",78.35,25.5,0.0
"(2, 82)",51.55,44.0,71.88
"(2, 85)",63.92,47.5,0.0
"(2, 88)",89.69,30.5,0.0
"(2, 91)",69.07,46.0,46.88
"(2, 94)",62.89,51.0,46.88
"(2, 97)",44.33,40.0,81.25
"(4, 13)",75.26,26.5,0.0
"(4, 16)",70.1,31.0,0.0
"(4, 19)",63.92,49.5,46.88
"(4, 22)",82.47,45.0,0.0
"(4, 25)",67.01,52.0,46.88
"(4, 28)",81.44,42.0,0.0
"(4, 31)",63.92,50.5,46.88
"(4, 34)",64.95,49.0,46.88
"(4, 37)",63.92,51.0,46.88
"(4, 40)",67.01,47.5,46.88
"(4, 43)",64.95,50.5,46.88
"(4, 46)",67.01,49.5,46.88
"(4, 49)",67.01,50.5,46.88
"(4, 52)",67.01,50.5,46.88
"(4, 55)",76.29,26.5,0.0
"(4, 58)",64.95,46.0,46.88
"(4, 61)",64.95,35.5,0.0
"(4, 64)",64.95,50.5,46.88
"(4, 67)",65.98,47.5,46.88
"(4, 70)",64.95,51.0,46.88
"(4, 73)",64.95,51.0,46.88
"(4, 76)",79.38,26.5,0.0
"(4, 79)",88.66,31.5,0.0
"(4, 82)",68.04,48.5,46.88
"(4, 85)",82.47,46.0,0.0
"(4, 91)",65.98,51.0,46.88
"(4, 94)",63.92,38.0,0.0
"(4, 97)",62.89,50.0,46.88
"(5, 10)",67.01,50.5,46.88
"(5, 16)",67.01,50.5,46.88
"(5, 19)",62.89,50.0,46.88
"(5, 22)",63.92,50.5,46.88
"(5, 25)",62.89,50.5,46.88
"(5, 28)",60.82,27.0,0.0
"(5, 31)",68.04,47.5,46.88
"(5, 34)",79.38,26.5,0.0
"(5, 37)",63.92,51.0,46.88
"(5, 40)",78.35,27.5,0.0
"(5, 43)",78.35,28.5,0.0
"(5, 46)",68.04,46.5,46.88
"(5, 49)",67.01,46.5,46.88
"(5, 52)",64.95,50.0,46.88
"(5, 55)",73.2,48.0,37.5
"(5, 58)",96.91,1.5,0.0
"(5, 61)",82.47,45.0,0.0
"(5, 64)",63.92,50.5,46.88
"(5, 67)",63.92,52.0,46.88
"(5, 70)",81.44,45.0,0.0
"(5, 73)",69.07,46.0,46.88
"(5, 76)",85.57,40.0,0.0
"(5, 79)",67.01,49.0,46.88
"(5, 82)",63.92,51.5,46.88
"(5, 85)",63.92,50.0,46.88
"(5, 88)",88.66,36.0,0.0
"(5, 91)",65.98,52.0,46.88
"(5, 94)",67.01,50.5,46.88
"(5, 97)",67.01,47.0,46.88
"(6, 10)",67.01,49.5,46.88
"(6, 13)",63.92,51.0,46.88
"(6, 16)",63.92,50.0,46.88
"(6, 19)",92.78,21.5,0.0
"(6, 25)",63.92,51.5,46.88
"(6, 28)",67.01,49.5,46.88
"(6, 31)",64.95,51.5,46.88
"(6, 34)",64.95,51.0,46.88
"(6, 37)",67.01,50.5,46.88
"(6, 40)",65.98,51.5,46.88
"(6, 43)",63.92,52.0,46.88
"(6, 46)",68.04,47.5,46.88
"(6, 49)",67.01,50.5,46.88
"(6, 52)",62.89,50.5,46.88
"(6, 55)",63.92,50.0,46.88
"(6, 58)",63.92,49.0,46.88
"(6, 61)",64.95,50.0,46.88
"(6, 64)",63.92,50.0,46.88
"(6, 67)",72.16,46.5,40.62
"(6, 70)",51.55,47.0,78.12
"(6, 73)",70.1,45.5,46.88
"(6, 76)",77.32,52.5,0.0
"(6, 79)",77.32,44.5,28.12
"(6, 82)",67.01,50.5,46.88
"(6, 85)",82.47,41.5,0.0
"(6, 88)",79.38,25.5,0.0
"(6, 91)",75.26,44.5,34.38
"(6, 94)",83.51,43.5,0.0
"(6, 97)",62.89,49.0,46.88
"(7, 10)",62.89,27.0,0.0
"(7, 13)",83.51,22.5,0.0
"(7, 16)",63.92,51.0,46.88
"(7, 19)",64.95,51.0,46.88
"(7, 22)",63.92,51.0,46.88
"(7, 25)",63.92,49.5,46.88
"(7, 28)",68.04,48.0,46.88
"(7, 31)",65.98,49.0,46.88
"(7, 34)",63.92,52.0,46.88
"(7, 40)",73.2,26.5,0.0
"(7, 43)",68.04,48.0,46.88
"(7, 46)",63.92,50.0,46.88
"(7, 49)",68.04,45.5,46.88
"(7, 52)",62.89,50.0,46.88
"(7, 55)",67.01,46.5,46.88
"(7, 58)",63.92,52.5,46.88
"(7, 61)",64.95,52.0,46.88
"(7, 64)",67.01,46.0,46.88
"(7, 67)",83.51,47.0,0.0
"(7, 70)",65.98,31.0,0.0
