,0,1,2
"(2, 'relu', 1, 1)",100.0,-1.0,-1.0
"(2, 'relu', 1, 31)",89.69,3.0,0.0
"(2, 'relu', 1, 61)",100.0,-1.0,-1.0
"(2, 'relu', 1, 91)",67.01,49.5,46.88
"(2, 'relu', 61, 1)",98.97,0.5,0.0
"(2, 'relu', 61, 31)",68.04,49.0,46.88
"(2, 'relu', 61, 61)",58.76,54.5,62.5
"(2, 'relu', 61, 91)",68.04,50.0,46.88
"(2, 'relu', 91, 1)",100.0,-1.0,-1.0
"(2, 'relu', 91, 31)",63.92,50.5,46.88
"(2, 'relu', 91, 61)",67.01,50.5,46.88
"(2, 'relu', 91, 91)",53.61,65.5,0.0
"(2, 'linear', 1, 31)",60.82,54.5,37.5
"(2, 'linear', 1, 61)",60.82,56.0,46.88
"(2, 'linear', 1, 91)",68.04,49.5,37.5
"(2, 'linear', 31, 31)",63.92,31.5,0.0
"(2, 'linear', 31, 61)",61.86,32.5,0.0
"(2, 'linear', 31, 91)",61.86,33.5,0.0
"(2, 'linear', 61, 31)",61.86,34.0,0.0
"(2, 'linear', 61, 61)",67.01,50.5,46.88
"(2, 'linear', 61, 91)",67.01,51.0,46.88
"(2, 'linear', 91, 31)",68.04,50.0,46.88
"(2, 'linear', 91, 61)",65.98,50.5,46.88
"(2, 'linear', 91, 91)",61.86,31.5,0.0
"(4, 'relu', 1, 1)",94.85,14.0,12.5
"(4, 'relu', 1, 31)",90.72,9.0,0.0
"(4, 'relu', 1, 61)",65.98,51.0,43.75
"(4, 'relu', 1, 91)",69.07,36.5,0.0
"(4, 'relu', 31, 1)",92.78,1.0,0.0
"(4, 'relu', 31, 31)",69.07,47.5,46.88
"(4, 'relu', 31, 61)",50.52,67.0,0.0
"(4, 'relu', 31, 91)",71.13,46.0,46.88
"(4, 'relu', 61, 1)",70.1,38.5,0.0
"(4, 'relu', 61, 31)",63.92,51.5,46.88
"(4, 'relu', 61, 61)",85.57,42.0,0.0
"(4, 'relu', 61, 91)",89.69,30.5,0.0
"(4, 'relu', 91, 1)",100.0,-1.0,-1.0
"(4, 'relu', 91, 31)",62.89,51.0,46.88
"(4, 'relu', 91, 61)",65.98,53.0,46.88
"(4, 'relu', 91, 91)",60.82,40.5,0.0
"(4, 'linear', 31, 31)",89.69,29.5,0.0
"(4, 'linear', 31, 61)",87.63,32.0,0.0
"(4, 'linear', 31, 91)",67.01,50.0,46.88
"(4, 'linear', 61, 31)",67.01,49.0,46.88
"(4, 'linear', 61, 61)",90.72,28.5,0.0
"(4, 'linear', 61, 91)",91.75,26.5,0.0
"(4, 'linear', 91, 61)",91.75,27.0,0.0
"(4, 'linear', 91, 91)",86.6,31.5,0.0
"(5, 'relu', 1, 1)",100.0,-1.0,-1.0
"(5, 'relu', 1, 61)",100.0,-1.0,-1.0
"(5, 'relu', 1, 91)",90.72,21.0,28.12
"(5, 'relu', 31, 1)",81.44,32.5,0.0
"(5, 'relu', 31, 31)",65.98,51.5,46.88
"(5, 'relu', 31, 61)",62.89,51.5,46.88
"(5, 'relu', 31, 91)",69.07,46.0,46.88
"(5, 'relu', 61, 61)",70.1,48.0,46.88
"(5, 'relu', 61, 91)",70.1,46.0,46.88
"(5, 'relu', 91, 1)",53.61,43.5,75.0
"(5, 'relu', 91, 31)",64.95,49.5,46.88
"(5, 'relu', 91, 61)",64.95,51.0,46.88
"(5, 'relu', 91, 91)",65.98,50.5,46.88
"(5, 'linear', 1, 1)",69.07,46.0,31.25
"(5, 'linear', 1, 91)",74.23,51.5,0.0
"(5, 'linear', 31, 31)",89.69,27.5,0.0
"(5, 'linear', 31, 61)",87.63,32.5,0.0
"(5, 'linear', 61, 61)",91.75,28.5,0.0
"(5, 'linear', 61, 91)",90.72,29.0,0.0
"(5, 'linear', 91, 31)",90.72,30.5,0.0
"(5, 'linear', 91, 61)",91.75,28.0,0.0
"(5, 'linear', 91, 91)",89.69,27.5,0.0
