,0,1,2
"(2, 'linear', 1)",80.0,40.0,11.76
"(2, 'linear', 4)",65.26,56.55,38.24
"(2, 'linear', 7)",75.79,48.97,32.35
"(2, 'linear', 10)",68.42,57.24,38.24
"(2, 'linear', 13)",66.32,53.1,50.0
"(2, 'linear', 22)",71.58,52.41,35.29
"(2, 'linear', 25)",69.47,55.86,47.06
"(2, 'linear', 28)",77.89,42.07,23.53
"(2, 'linear', 31)",76.84,46.21,29.41
"(2, 'linear', 40)",64.21,53.1,52.94
"(2, 'linear', 43)",63.16,53.79,52.94
"(2, 'linear', 46)",63.16,52.41,55.88
"(2, 'linear', 52)",63.16,52.41,55.88
"(2, 'linear', 55)",61.05,52.41,55.88
"(2, 'linear', 58)",61.05,53.79,55.88
"(2, 'linear', 61)",62.11,55.17,52.94
"(2, 'linear', 64)",63.16,52.41,52.94
"(2, 'linear', 79)",64.21,51.72,55.88
"(2, 'linear', 82)",61.05,53.79,52.94
"(2, 'linear', 85)",65.26,53.1,50.0
"(2, 'linear', 88)",62.11,54.48,52.94
"(2, 'linear', 94)",62.11,53.1,52.94
"(2, 'linear', 97)",63.16,51.03,55.88
"(3, 'linear', 1)",72.63,48.28,29.41
"(3, 'linear', 7)",76.84,43.45,20.59
"(3, 'linear', 10)",76.84,51.72,32.35
"(3, 'linear', 13)",75.79,46.9,17.65
"(3, 'linear', 16)",61.05,54.48,52.94
"(3, 'linear', 22)",68.42,52.41,50.0
"(3, 'linear', 28)",67.37,53.79,50.0
"(3, 'linear', 31)",61.05,55.17,50.0
"(3, 'linear', 34)",67.37,51.03,50.0
"(3, 'linear', 37)",62.11,53.1,50.0
"(3, 'linear', 43)",62.11,52.41,52.94
"(3, 'linear', 52)",69.47,54.48,47.06
"(3, 'linear', 55)",61.05,51.72,52.94
"(3, 'linear', 58)",66.32,55.17,52.94
"(3, 'linear', 67)",64.21,54.48,50.0
"(3, 'linear', 70)",63.16,54.48,52.94
"(3, 'linear', 73)",63.16,52.41,52.94
"(3, 'linear', 88)",64.21,52.41,55.88
"(3, 'linear', 91)",65.26,52.41,52.94
"(3, 'linear', 94)",63.16,53.1,52.94
"(4, 'linear', 1)",81.05,40.69,8.82
"(4, 'linear', 7)",64.21,52.41,52.94
"(4, 'linear', 13)",65.26,57.24,50.0
"(4, 'linear', 16)",65.26,53.79,52.94
"(4, 'linear', 22)",71.58,48.97,47.06
"(4, 'linear', 31)",61.05,53.1,55.88
"(4, 'linear', 34)",66.32,53.1,52.94
"(4, 'linear', 37)",62.11,53.1,52.94
"(4, 'linear', 40)",72.63,47.59,41.18
"(4, 'linear', 43)",63.16,50.34,55.88
"(4, 'linear', 46)",62.11,51.72,55.88
"(4, 'linear', 49)",61.05,52.41,52.94
"(4, 'linear', 55)",64.21,51.72,55.88
"(4, 'linear', 61)",61.05,51.72,55.88
"(4, 'linear', 64)",61.05,53.1,52.94
"(4, 'linear', 67)",62.11,52.41,55.88
"(4, 'linear', 79)",66.32,53.1,55.88
"(4, 'linear', 82)",61.05,51.72,52.94
"(4, 'linear', 85)",61.05,53.1,55.88
"(4, 'linear', 91)",63.16,52.41,55.88
"(4, 'linear', 94)",64.21,51.72,55.88
"(4, 'linear', 97)",63.16,53.1,52.94
