,0,1,kmeans_cluster
0,-58.96127,61.071438,1
1,-49.949253,19.229034,1
2,-12.83408,1.2557216,0
3,-29.777222,-6.5840616,0
4,-32.201847,19.45026,0
5,-23.140572,-1.224202,0
6,-46.283974,17.439375,1
7,-50.03658,3.5313842,0
8,-30.010008,-4.3099084,0
9,-52.672947,18.56401,1
10,-45.603947,19.77532,1
11,-36.13108,11.14819,0
12,-20.672434,6.576612,0
13,-43.77237,27.512346,1
14,-32.17447,25.472614,1
15,-37.411057,28.240946,1
16,-41.681274,9.880708,0
17,-42.487293,19.335213,1
18,-30.772629,-4.3466854,0
19,-25.472086,13.309638,0
20,-38.724056,36.238235,1
21,-15.145161,8.543401,0
22,-45.835533,35.9222,1
23,-37.54128,15.708436,0
24,-57.19353,4.468988,0
25,-34.093685,4.198017,0
26,-39.055218,16.939354,0
27,-25.711525,8.958896,0
28,-46.31184,8.811361,0
29,-29.929075,8.8857565,0
30,-45.561813,31.697475,1
31,-21.237932,11.563822,0
32,-21.770151,17.538464,0
33,-35.656353,22.1405,1
34,-29.164158,9.555904,0
35,-28.908365,10.852522,0
36,-47.257946,47.286934,1
37,-23.534174,8.458342,0
38,-32.51701,13.593904,0
39,-29.16756,8.111196,0
40,-32.4719,13.874217,0
41,-25.179672,-13.28737,0
42,-22.819641,-5.880087,0
43,-39.27055,12.016288,0
44,-28.539455,29.114414,1
45,-30.674488,13.573069,0
46,-39.601093,20.454287,1
47,-50.72511,33.09615,1
48,-27.558357,10.341977,0
49,-36.36678,24.2186,1
50,-43.09574,-23.520956,0
51,-21.922228,5.982306,0
52,-50.371372,43.146458,1
53,-38.095936,17.209871,0
54,-25.585804,9.76945,0
55,-30.653078,-12.737779,0
56,-22.489473,-1.4721429,0
57,-26.774895,24.883118,0
58,-42.378654,20.83613,1
59,-25.509989,10.914614,0
60,-51.490818,41.843796,1
61,-58.948315,40.282665,1
62,-65.65126,40.20268,1
63,-30.18808,-4.468119,0
64,-43.452904,13.227684,0
65,-46.15541,40.46687,1
66,-36.254375,2.3026397,0
67,-44.90628,30.03554,1
68,-33.14177,28.12964,1
69,-34.68368,2.0434098,0
70,-56.786026,-46.17741,0
71,-20.386074,-2.3300798,0
72,-32.20436,11.651408,0
73,-36.91558,26.848024,1
