,0,1,2
"(2, 10)",87.63,32.0,0.0
"(2, 13)",76.29,25.5,0.0
"(2, 16)",77.32,26.5,0.0
"(2, 19)",85.57,28.0,0.0
"(2, 22)",73.2,26.0,0.0
"(2, 25)",69.07,32.5,0.0
"(2, 28)",82.47,33.0,0.0
"(2, 31)",71.13,29.0,0.0
"(2, 34)",89.69,27.5,0.0
"(2, 37)",90.72,27.0,0.0
"(2, 40)",88.66,33.5,0.0
"(2, 43)",79.38,26.5,0.0
"(2, 46)",80.41,32.5,0.0
"(2, 49)",79.38,21.0,0.0
"(2, 52)",71.13,27.5,0.0
"(2, 55)",88.66,32.5,0.0
"(2, 58)",89.69,29.0,0.0
"(2, 61)",100.0,-1.0,-1.0
"(2, 64)",78.35,24.0,0.0
"(2, 67)",75.26,27.5,0.0
"(2, 70)",87.63,32.5,0.0
"(2, 73)",88.66,30.0,0.0
"(2, 76)",85.57,19.5,0.0
"(2, 79)",73.2,29.0,0.0
"(2, 82)",88.66,32.5,0.0
"(2, 85)",82.47,26.0,0.0
"(2, 88)",74.23,27.5,0.0
"(2, 91)",73.2,27.0,0.0
"(2, 94)",76.29,27.0,0.0
"(2, 97)",73.2,28.0,0.0
