,0,1,2
"(2, 'linear', 1)",78.95,39.31,11.76
"(2, 'linear', 4)",71.58,52.41,32.35
"(2, 'linear', 7)",74.74,48.28,26.47
"(2, 'linear', 10)",77.89,38.62,20.59
"(2, 'linear', 13)",52.63,53.1,64.71
"(2, 'linear', 16)",72.63,41.38,23.53
"(2, 'linear', 19)",66.32,53.79,50.0
"(2, 'linear', 22)",76.84,44.83,29.41
"(2, 'linear', 28)",61.05,55.17,52.94
"(2, 'linear', 31)",64.21,53.1,52.94
"(2, 'linear', 34)",67.37,55.86,47.06
"(2, 'linear', 37)",63.16,54.48,47.06
"(2, 'linear', 40)",64.21,53.79,52.94
"(2, 'linear', 46)",64.21,54.48,50.0
"(2, 'linear', 70)",61.05,51.72,52.94
"(2, 'linear', 94)",62.11,53.1,55.88
"(2, 'linear', 97)",63.16,51.72,55.88
"(3, 'linear', 1)",89.47,33.79,0.0
"(3, 'linear', 4)",84.21,39.31,0.0
"(3, 'linear', 10)",72.63,50.34,35.29
"(3, 'linear', 13)",61.05,55.17,50.0
"(3, 'linear', 16)",64.21,55.17,50.0
"(3, 'linear', 19)",68.42,48.28,50.0
"(3, 'linear', 22)",62.11,53.79,55.88
"(3, 'linear', 25)",63.16,55.86,52.94
"(3, 'linear', 34)",69.47,52.41,50.0
"(3, 'linear', 40)",65.26,54.48,50.0
"(3, 'linear', 43)",63.16,54.48,52.94
"(3, 'linear', 46)",61.05,53.1,52.94
"(3, 'linear', 49)",62.11,52.41,52.94
"(3, 'linear', 52)",69.47,51.72,52.94
"(3, 'linear', 55)",64.21,53.1,50.0
"(3, 'linear', 61)",64.21,52.41,50.0
"(3, 'linear', 67)",69.47,55.86,38.24
"(3, 'linear', 70)",63.16,51.03,55.88
"(3, 'linear', 73)",62.11,53.79,52.94
"(3, 'linear', 76)",62.11,53.1,52.94
"(3, 'linear', 79)",61.05,51.72,52.94
"(3, 'linear', 82)",63.16,53.1,52.94
"(3, 'linear', 85)",65.26,53.79,55.88
"(3, 'linear', 88)",62.11,51.72,52.94
"(3, 'linear', 91)",61.05,53.1,52.94
"(3, 'linear', 97)",64.21,52.41,50.0
"(4, 'linear', 1)",65.26,53.1,35.29
"(4, 'linear', 7)",64.21,53.79,50.0
"(4, 'linear', 10)",93.68,32.41,0.0
"(4, 'linear', 13)",51.58,55.86,61.76
"(4, 'linear', 16)",63.16,53.1,52.94
"(4, 'linear', 19)",87.37,31.03,0.0
"(4, 'linear', 22)",71.58,48.28,50.0
"(4, 'linear', 25)",63.16,53.79,55.88
"(4, 'linear', 28)",65.26,51.72,55.88
"(4, 'linear', 37)",62.11,53.1,55.88
"(4, 'linear', 49)",63.16,51.72,55.88
"(4, 'linear', 52)",66.32,52.41,55.88
"(4, 'linear', 61)",64.21,53.79,52.94
"(4, 'linear', 64)",61.05,51.72,55.88
"(4, 'linear', 67)",61.05,51.72,55.88
"(4, 'linear', 82)",62.11,52.41,55.88
"(4, 'linear', 85)",61.05,51.72,52.94
"(4, 'linear', 91)",61.05,53.1,52.94
"(4, 'linear', 94)",63.16,52.41,55.88
