,0,1,2
"(2, 'linear', 1)",71.13,50.0,34.38
"(2, 'linear', 2)",71.13,46.5,21.88
"(2, 'linear', 4)",64.95,55.0,46.88
"(2, 'linear', 5)",76.29,44.5,28.12
"(2, 'linear', 6)",61.86,54.0,53.12
"(2, 'linear', 7)",70.1,51.0,37.5
"(2, 'linear', 9)",77.32,42.5,34.38
"(2, 'linear', 10)",61.86,52.5,50.0
"(2, 'linear', 11)",81.44,43.0,28.12
"(2, 'linear', 12)",61.86,54.0,46.88
"(2, 'linear', 13)",68.04,51.5,46.88
"(2, 'linear', 14)",67.01,50.5,43.75
"(2, 'linear', 15)",65.98,50.5,46.88
"(2, 'linear', 16)",64.95,53.5,46.88
"(2, 'linear', 17)",62.89,54.0,46.88
"(2, 'linear', 18)",63.92,53.0,46.88
"(2, 'linear', 19)",62.89,52.5,50.0
"(2, 'linear', 20)",60.82,54.5,46.88
"(2, 'linear', 21)",62.89,49.5,46.88
"(2, 'linear', 22)",64.95,50.5,46.88
"(2, 'linear', 23)",64.95,51.0,46.88
"(2, 'linear', 24)",63.92,52.0,46.88
"(2, 'linear', 25)",63.92,51.5,46.88
"(2, 'linear', 26)",65.98,51.5,46.88
"(2, 'linear', 27)",67.01,52.5,46.88
"(2, 'linear', 28)",67.01,49.5,46.88
"(2, 'linear', 29)",67.01,49.0,46.88
"(2, 'linear', 30)",73.2,50.5,40.62
"(2, 'linear', 31)",61.86,53.0,46.88
"(2, 'linear', 32)",65.98,53.0,46.88
"(2, 'linear', 33)",65.98,53.0,46.88
"(2, 'linear', 34)",64.95,51.5,46.88
"(2, 'linear', 35)",67.01,49.5,46.88
"(2, 'linear', 36)",62.89,55.0,46.88
"(2, 'linear', 37)",63.92,52.5,46.88
"(2, 'linear', 38)",65.98,52.5,46.88
"(2, 'linear', 39)",62.89,54.5,46.88
"(2, 'linear', 40)",62.89,53.0,46.88
"(2, 'linear', 41)",67.01,53.5,46.88
"(2, 'linear', 42)",65.98,52.0,46.88
"(2, 'linear', 43)",64.95,53.0,46.88
"(2, 'linear', 44)",62.89,52.0,46.88
"(2, 'linear', 45)",62.89,53.5,46.88
"(2, 'linear', 46)",63.92,55.5,46.88
"(2, 'linear', 47)",63.92,52.0,46.88
"(2, 'linear', 48)",71.13,46.0,37.5
"(2, 'linear', 49)",62.89,54.0,46.88
"(2, 'linear', 50)",68.04,49.5,46.88
"(2, 'linear', 51)",62.89,53.5,46.88
"(2, 'linear', 52)",68.04,50.5,46.88
"(2, 'linear', 53)",64.95,54.0,46.88
"(2, 'linear', 54)",62.89,52.5,46.88
"(2, 'linear', 55)",65.98,53.0,46.88
"(2, 'linear', 56)",65.98,51.5,46.88
"(2, 'linear', 57)",64.95,51.0,46.88
"(2, 'linear', 58)",63.92,53.0,46.88
"(2, 'linear', 59)",62.89,53.5,46.88
"(2, 'linear', 60)",63.92,54.5,46.88
"(2, 'linear', 61)",67.01,51.5,46.88
"(2, 'linear', 62)",67.01,51.5,46.88
"(2, 'linear', 63)",60.82,54.0,46.88
"(2, 'linear', 64)",63.92,51.0,46.88
"(2, 'linear', 65)",63.92,51.0,46.88
"(2, 'linear', 66)",63.92,50.0,46.88
"(2, 'linear', 67)",62.89,53.0,46.88
"(2, 'linear', 68)",64.95,52.0,46.88
"(2, 'linear', 69)",65.98,52.0,46.88
"(2, 'linear', 70)",65.98,51.5,46.88
"(2, 'linear', 71)",64.95,51.0,46.88
"(2, 'linear', 72)",67.01,50.5,46.88
