,0,1,2
"(2, 'linear', 73)",62.89,53.0,46.88
"(2, 'linear', 74)",62.89,55.5,46.88
"(2, 'linear', 75)",65.98,51.5,46.88
"(2, 'linear', 76)",63.92,51.5,46.88
"(2, 'linear', 77)",63.92,52.5,46.88
"(2, 'linear', 78)",67.01,51.5,46.88
"(2, 'linear', 79)",64.95,55.0,46.88
"(2, 'linear', 80)",62.89,53.0,46.88
"(2, 'linear', 81)",63.92,51.5,46.88
"(2, 'linear', 82)",67.01,52.5,46.88
"(2, 'linear', 83)",65.98,51.0,46.88
"(2, 'linear', 84)",64.95,51.5,46.88
"(2, 'linear', 85)",63.92,52.0,46.88
"(2, 'linear', 86)",63.92,55.5,46.88
"(2, 'linear', 87)",64.95,50.5,46.88
"(2, 'linear', 88)",64.95,51.5,46.88
"(2, 'linear', 89)",62.89,51.0,46.88
"(2, 'linear', 90)",62.89,52.5,46.88
"(2, 'linear', 91)",62.89,51.5,46.88
"(2, 'linear', 92)",63.92,53.5,46.88
"(2, 'linear', 93)",65.98,50.5,46.88
"(2, 'linear', 94)",64.95,53.5,46.88
"(2, 'linear', 95)",62.89,51.0,46.88
"(2, 'linear', 96)",64.95,53.5,46.88
"(2, 'linear', 97)",63.92,54.0,46.88
"(2, 'linear', 98)",65.98,52.5,46.88
"(2, 'linear', 99)",62.89,52.0,46.88
"(2, 'linear', 100)",62.89,53.5,46.88
"(2, 'linear', 101)",62.89,52.0,46.88
"(2, 'linear', 102)",64.95,54.0,46.88
"(2, 'linear', 103)",65.98,53.5,46.88
"(2, 'linear', 104)",64.95,52.5,46.88
"(2, 'linear', 105)",63.92,53.0,46.88
"(2, 'linear', 106)",62.89,53.5,46.88
"(2, 'linear', 107)",62.89,56.5,46.88
"(2, 'linear', 108)",65.98,52.0,46.88
"(2, 'linear', 109)",61.86,54.0,46.88
"(2, 'linear', 110)",64.95,51.0,46.88
"(2, 'linear', 111)",63.92,52.0,46.88
"(2, 'linear', 112)",62.89,51.0,46.88
"(2, 'linear', 113)",65.98,53.0,46.88
"(2, 'linear', 114)",67.01,52.0,46.88
"(2, 'linear', 115)",62.89,53.0,46.88
"(2, 'linear', 116)",63.92,51.5,46.88
"(2, 'linear', 117)",62.89,52.0,46.88
"(2, 'linear', 118)",63.92,50.5,46.88
"(2, 'linear', 119)",63.92,54.0,46.88
"(2, 'linear', 120)",65.98,52.0,46.88
"(2, 'linear', 121)",64.95,51.5,46.88
"(2, 'linear', 122)",67.01,51.0,46.88
"(2, 'linear', 123)",65.98,51.5,46.88
"(2, 'linear', 124)",63.92,54.0,46.88
"(2, 'linear', 125)",61.86,55.5,46.88
"(2, 'linear', 126)",65.98,51.5,46.88
"(2, 'linear', 127)",64.95,52.5,46.88
"(2, 'linear', 128)",63.92,52.5,46.88
"(2, 'linear', 129)",65.98,51.5,46.88
"(2, 'linear', 130)",65.98,51.5,46.88
"(2, 'linear', 131)",64.95,53.5,46.88
"(2, 'linear', 132)",62.89,52.0,46.88
"(2, 'linear', 133)",62.89,52.0,46.88
"(2, 'linear', 134)",63.92,51.5,46.88
"(2, 'linear', 135)",62.89,52.5,46.88
"(2, 'linear', 136)",67.01,51.0,46.88
"(2, 'linear', 137)",63.92,54.5,46.88
"(2, 'linear', 138)",64.95,52.5,46.88
"(2, 'linear', 139)",63.92,53.5,46.88
"(2, 'linear', 140)",63.92,52.0,46.88
"(2, 'linear', 141)",63.92,54.5,46.88
"(2, 'linear', 142)",65.98,51.0,46.88
"(2, 'linear', 143)",65.98,51.5,46.88
"(2, 'linear', 144)",67.01,51.5,46.88
"(2, 'linear', 145)",63.92,51.5,46.88
"(2, 'linear', 146)",64.95,52.0,46.88
"(2, 'linear', 147)",64.95,51.5,46.88
"(2, 'linear', 148)",63.92,54.5,46.88
"(2, 'linear', 149)",64.95,52.0,46.88
"(2, 'linear', 150)",62.89,54.5,46.88
"(2, 'linear', 151)",67.01,51.0,46.88
"(2, 'linear', 152)",63.92,52.5,46.88
"(2, 'linear', 153)",67.01,54.5,46.88
"(2, 'linear', 154)",65.98,53.5,46.88
"(2, 'linear', 155)",64.95,53.0,46.88
"(2, 'linear', 156)",62.89,52.0,46.88
"(2, 'linear', 157)",65.98,51.0,46.88
"(2, 'linear', 158)",63.92,52.0,46.88
"(2, 'linear', 159)",62.89,52.0,46.88
"(2, 'linear', 160)",65.98,51.5,46.88
"(2, 'linear', 161)",65.98,54.0,46.88
"(2, 'linear', 162)",65.98,50.5,46.88
"(2, 'linear', 163)",64.95,54.0,46.88
"(2, 'linear', 164)",62.89,50.0,46.88
"(2, 'linear', 165)",62.89,53.5,46.88
"(2, 'linear', 166)",63.92,54.0,46.88
"(2, 'linear', 167)",61.86,54.5,46.88
"(2, 'linear', 168)",64.95,54.0,46.88
"(2, 'linear', 169)",63.92,55.5,46.88
"(2, 'linear', 170)",62.89,54.5,46.88
"(2, 'linear', 171)",63.92,52.0,46.88
"(2, 'linear', 172)",62.89,52.0,46.88
"(2, 'linear', 173)",63.92,54.0,46.88
"(2, 'linear', 174)",67.01,51.5,46.88
"(2, 'linear', 175)",67.01,52.5,46.88
"(2, 'linear', 176)",62.89,52.5,46.88
"(2, 'linear', 177)",63.92,51.0,46.88
"(2, 'linear', 178)",63.92,53.0,46.88
"(2, 'linear', 179)",64.95,51.5,46.88
"(2, 'linear', 180)",64.95,53.0,46.88
"(2, 'linear', 181)",65.98,54.5,46.88
"(2, 'linear', 182)",63.92,52.0,46.88
"(2, 'linear', 183)",65.98,52.5,46.88
"(2, 'linear', 184)",65.98,53.0,46.88
"(2, 'linear', 185)",63.92,53.0,46.88
"(2, 'linear', 186)",65.98,51.5,46.88
"(2, 'linear', 187)",65.98,51.5,46.88
"(2, 'linear', 188)",63.92,54.0,46.88
"(2, 'linear', 189)",62.89,54.5,46.88
"(2, 'linear', 190)",67.01,52.0,46.88
"(2, 'linear', 191)",63.92,53.5,46.88
"(2, 'linear', 192)",63.92,53.0,46.88
"(2, 'linear', 193)",62.89,53.5,46.88
"(2, 'linear', 194)",62.89,52.5,46.88
"(2, 'linear', 195)",63.92,52.5,46.88
"(2, 'linear', 196)",65.98,54.0,46.88
"(2, 'linear', 197)",63.92,52.0,46.88
"(2, 'linear', 198)",67.01,50.5,46.88
"(2, 'linear', 199)",65.98,51.5,46.88
"(2, 'linear', 200)",67.01,52.5,46.88
"(2, 'linear', 201)",65.98,52.0,46.88
"(2, 'linear', 202)",63.92,53.5,46.88
"(2, 'linear', 203)",65.98,54.0,46.88
"(2, 'linear', 204)",64.95,53.5,46.88
"(2, 'linear', 205)",64.95,54.5,46.88
"(2, 'linear', 206)",63.92,51.0,46.88
"(2, 'linear', 207)",62.89,51.5,46.88
"(2, 'linear', 208)",62.89,52.5,46.88
"(2, 'linear', 209)",65.98,52.0,46.88
"(2, 'linear', 210)",63.92,53.0,46.88
"(2, 'linear', 211)",63.92,51.5,46.88
"(2, 'linear', 212)",62.89,52.5,46.88
"(2, 'linear', 213)",65.98,52.0,46.88
"(2, 'linear', 214)",63.92,53.0,46.88
"(2, 'linear', 215)",62.89,54.5,46.88
"(2, 'linear', 216)",67.01,51.0,46.88
"(2, 'linear', 217)",63.92,53.0,46.88
"(2, 'linear', 218)",62.89,52.5,46.88
"(2, 'linear', 219)",63.92,53.5,46.88
"(2, 'linear', 220)",63.92,53.0,46.88
"(2, 'linear', 221)",65.98,52.5,46.88
"(2, 'linear', 222)",65.98,52.0,46.88
"(2, 'linear', 223)",67.01,51.0,46.88
"(2, 'linear', 224)",63.92,55.0,46.88
"(2, 'linear', 225)",64.95,53.5,46.88
"(2, 'linear', 226)",63.92,52.5,46.88
"(2, 'linear', 227)",65.98,50.5,46.88
"(2, 'linear', 228)",65.98,53.0,46.88
"(2, 'linear', 229)",62.89,54.0,46.88
"(2, 'linear', 230)",65.98,53.0,46.88
"(2, 'linear', 231)",64.95,53.5,46.88
"(2, 'linear', 232)",63.92,55.0,46.88
"(2, 'linear', 233)",65.98,52.0,46.88
"(2, 'linear', 234)",65.98,50.5,46.88
"(2, 'linear', 235)",63.92,53.5,46.88
"(2, 'linear', 236)",62.89,54.0,46.88
"(2, 'linear', 237)",62.89,54.5,46.88
"(2, 'linear', 238)",62.89,51.0,46.88
"(2, 'linear', 239)",62.89,51.5,46.88
"(2, 'linear', 240)",64.95,52.5,46.88
"(2, 'linear', 241)",62.89,52.0,46.88
"(2, 'linear', 242)",64.95,53.5,46.88
"(2, 'linear', 243)",62.89,52.5,46.88
"(2, 'linear', 244)",65.98,53.5,46.88
"(2, 'linear', 245)",64.95,53.5,46.88
"(2, 'linear', 246)",64.95,54.0,46.88
"(2, 'linear', 247)",63.92,51.5,46.88
"(2, 'linear', 248)",64.95,53.5,46.88
"(2, 'linear', 249)",62.89,53.0,46.88
"(2, 'linear', 250)",65.98,51.0,46.88
"(2, 'linear', 251)",65.98,52.0,46.88
"(2, 'linear', 252)",65.98,52.5,46.88
"(2, 'linear', 253)",67.01,50.0,46.88
"(2, 'linear', 254)",65.98,52.5,46.88
"(2, 'linear', 255)",67.01,51.5,46.88
"(2, 'linear', 256)",64.95,53.0,46.88
"(2, 'linear', 257)",65.98,51.5,46.88
"(2, 'linear', 258)",64.95,54.0,46.88
"(2, 'linear', 259)",67.01,54.0,46.88
"(2, 'linear', 260)",62.89,53.5,46.88
"(2, 'linear', 261)",64.95,53.0,46.88
"(2, 'linear', 262)",64.95,53.5,46.88
"(2, 'linear', 263)",65.98,52.0,46.88
"(2, 'linear', 264)",62.89,51.5,46.88
"(2, 'linear', 265)",62.89,52.0,46.88
"(2, 'linear', 266)",65.98,53.5,46.88
"(2, 'linear', 267)",67.01,50.5,46.88
"(2, 'linear', 268)",63.92,53.5,46.88
"(2, 'linear', 269)",60.82,57.5,46.88
"(2, 'linear', 270)",64.95,52.5,46.88
"(2, 'linear', 271)",63.92,52.5,46.88
"(2, 'linear', 272)",63.92,52.0,46.88
"(2, 'linear', 273)",65.98,51.5,46.88
"(2, 'linear', 274)",65.98,52.0,46.88
"(2, 'linear', 275)",64.95,51.5,46.88
"(2, 'linear', 276)",65.98,54.5,46.88
"(2, 'linear', 277)",64.95,51.5,46.88
"(2, 'linear', 278)",62.89,52.0,46.88
"(2, 'linear', 279)",63.92,52.0,46.88
"(2, 'linear', 280)",64.95,53.0,46.88
"(2, 'linear', 281)",65.98,52.5,46.88
"(2, 'linear', 282)",62.89,56.0,46.88
"(2, 'linear', 283)",64.95,54.0,46.88
"(2, 'linear', 284)",64.95,54.0,46.88
"(2, 'linear', 285)",64.95,53.0,46.88
"(2, 'linear', 286)",64.95,50.5,46.88
"(2, 'linear', 287)",65.98,53.5,46.88
"(2, 'linear', 288)",63.92,54.0,46.88
"(2, 'linear', 289)",65.98,54.0,46.88
"(2, 'linear', 290)",63.92,50.0,46.88
"(2, 'linear', 291)",65.98,53.5,46.88
"(2, 'linear', 292)",63.92,55.0,46.88
"(2, 'linear', 293)",64.95,53.5,46.88
"(2, 'linear', 294)",65.98,53.5,46.88
"(2, 'linear', 295)",64.95,52.0,46.88
"(2, 'linear', 296)",65.98,53.5,46.88
"(2, 'linear', 297)",62.89,50.5,46.88
"(2, 'linear', 298)",64.95,54.0,46.88
"(2, 'linear', 299)",64.95,55.0,46.88
