,0,1,2
"(2, 10)",93.81,1.5,0.0
"(2, 16)",96.91,1.5,0.0
"(2, 22)",96.91,1.5,0.0
"(2, 25)",96.91,1.5,0.0
"(2, 28)",96.91,1.5,0.0
"(2, 31)",96.91,1.5,0.0
"(2, 34)",96.91,1.5,0.0
"(2, 37)",76.29,32.5,0.0
"(2, 40)",96.91,1.5,0.0
"(2, 43)",97.94,1.5,0.0
"(2, 46)",96.91,1.5,0.0
"(2, 49)",78.35,30.5,0.0
"(2, 52)",96.91,1.5,0.0
"(2, 55)",96.91,1.5,0.0
"(2, 58)",96.91,1.5,0.0
"(2, 61)",96.91,1.5,0.0
"(2, 64)",100.0,-1.0,-1.0
"(2, 67)",96.91,1.5,0.0
"(2, 70)",96.91,1.5,0.0
"(2, 73)",96.91,1.5,0.0
"(2, 76)",96.91,1.5,0.0
"(2, 79)",96.91,1.5,0.0
"(2, 82)",96.91,1.5,0.0
"(2, 85)",96.91,1.5,0.0
"(2, 88)",96.91,1.5,0.0
"(2, 91)",96.91,1.5,0.0
"(2, 94)",96.91,1.5,0.0
"(2, 97)",96.91,1.5,0.0
"(4, 10)",96.91,1.5,0.0
"(4, 13)",96.91,1.5,0.0
"(4, 16)",100.0,-1.0,-1.0
"(4, 19)",96.91,1.5,0.0
"(4, 22)",96.91,1.5,0.0
"(4, 25)",96.91,1.5,0.0
"(4, 28)",96.91,1.5,0.0
"(4, 31)",96.91,1.5,0.0
"(4, 34)",96.91,1.5,0.0
"(4, 37)",96.91,1.5,0.0
"(4, 40)",97.94,1.5,0.0
"(4, 43)",96.91,1.5,0.0
"(4, 46)",96.91,1.5,0.0
"(4, 49)",96.91,1.5,0.0
"(4, 52)",96.91,1.5,0.0
"(4, 55)",96.91,1.5,0.0
"(4, 58)",96.91,1.5,0.0
"(4, 61)",96.91,1.5,0.0
"(4, 64)",96.91,1.5,0.0
"(4, 67)",96.91,1.5,0.0
"(4, 70)",96.91,1.5,0.0
"(4, 73)",96.91,1.5,0.0
"(4, 76)",96.91,1.5,0.0
"(4, 79)",97.94,1.5,0.0
"(4, 82)",96.91,1.5,0.0
"(4, 85)",96.91,1.5,0.0
"(4, 88)",96.91,1.5,0.0
"(4, 91)",96.91,1.5,0.0
"(4, 94)",96.91,1.5,0.0
"(4, 97)",96.91,1.5,0.0
"(5, 10)",96.91,1.5,0.0
"(5, 13)",96.91,1.5,0.0
"(5, 16)",96.91,1.5,0.0
"(5, 19)",96.91,1.5,0.0
"(5, 22)",96.91,1.5,0.0
"(5, 25)",96.91,1.5,0.0
"(5, 28)",96.91,1.5,0.0
"(5, 31)",96.91,1.5,0.0
"(5, 34)",96.91,1.5,0.0
"(5, 37)",96.91,1.5,0.0
"(5, 40)",97.94,1.5,0.0
"(5, 43)",96.91,1.5,0.0
"(5, 46)",97.94,1.5,0.0
"(5, 49)",96.91,1.5,0.0
"(5, 52)",95.88,1.5,0.0
"(5, 55)",96.91,1.5,0.0
"(5, 58)",96.91,1.5,0.0
"(5, 61)",96.91,1.5,0.0
"(5, 64)",97.94,1.5,0.0
"(5, 67)",96.91,1.5,0.0
"(5, 70)",96.91,1.5,0.0
"(5, 73)",96.91,1.5,0.0
"(5, 76)",96.91,1.5,0.0
"(5, 79)",96.91,1.5,0.0
"(5, 82)",96.91,1.5,0.0
"(5, 85)",96.91,1.5,0.0
"(5, 88)",96.91,1.5,0.0
"(5, 91)",96.91,1.5,0.0
"(5, 94)",96.91,1.5,0.0
"(5, 97)",96.91,1.5,0.0
"(6, 10)",96.91,1.5,0.0
"(6, 13)",96.91,1.5,0.0
"(6, 16)",96.91,1.5,0.0
"(6, 19)",96.91,1.5,0.0
"(6, 22)",96.91,1.5,0.0
"(6, 25)",96.91,1.5,0.0
"(6, 28)",96.91,1.5,0.0
"(6, 31)",96.91,1.5,0.0
"(6, 34)",96.91,1.5,0.0
"(6, 37)",96.91,1.5,0.0
"(6, 40)",96.91,1.5,0.0
"(6, 43)",96.91,1.5,0.0
"(6, 46)",96.91,1.5,0.0
"(6, 49)",96.91,1.5,0.0
"(6, 52)",96.91,1.5,0.0
"(6, 55)",96.91,1.5,0.0
"(6, 58)",96.91,1.5,0.0
"(6, 61)",96.91,1.5,0.0
"(6, 64)",96.91,1.5,0.0
"(6, 67)",79.38,30.5,0.0
"(6, 70)",96.91,1.5,0.0
"(6, 73)",96.91,1.5,0.0
"(6, 76)",97.94,1.5,0.0
"(6, 79)",96.91,1.5,0.0
"(6, 82)",96.91,1.5,0.0
"(6, 85)",96.91,1.5,0.0
"(6, 88)",96.91,1.5,0.0
"(6, 91)",96.91,1.5,0.0
"(6, 94)",97.94,1.5,0.0
"(6, 97)",96.91,1.5,0.0
"(7, 10)",96.91,1.5,0.0
"(7, 13)",96.91,1.5,0.0
"(7, 16)",96.91,1.5,0.0
"(7, 19)",96.91,1.5,0.0
"(7, 22)",96.91,1.5,0.0
"(7, 25)",96.91,1.5,0.0
"(7, 28)",96.91,1.5,0.0
"(7, 31)",96.91,1.5,0.0
"(7, 34)",96.91,1.5,0.0
"(7, 37)",96.91,1.5,0.0
"(7, 40)",96.91,1.5,0.0
"(7, 43)",96.91,1.5,0.0
"(7, 46)",96.91,1.5,0.0
"(7, 49)",96.91,1.5,0.0
"(7, 52)",96.91,1.5,0.0
"(7, 55)",96.91,1.5,0.0
"(7, 58)",96.91,1.5,0.0
"(7, 61)",97.94,1.5,0.0
