,0,1,kmeans_cluster
0,177.43268,150.52774,1
1,99.954155,84.51118,2
2,5.023745,6.631012,0
3,23.064426,22.18323,0
4,65.21208,59.86685,2
5,18.612703,20.00819,0
6,88.50502,78.45159,2
7,72.28652,69.018616,2
8,25.679026,27.32911,0
9,101.51794,90.01347,2
10,90.094406,81.67252,2
11,61.4405,54.01379,2
12,26.094156,25.701193,0
13,98.61461,87.38792,2
14,76.06589,66.05376,2
15,88.89682,77.818016,2
16,67.44447,63.370243,2
17,84.58227,75.38018,2
18,27.870455,27.256386,0
19,44.057762,42.04633,0
20,101.58994,90.87069,2
21,19.020023,19.973446,0
22,116.460754,100.16174,1
23,69.08034,64.63578,2
24,89.812775,77.19054,2
25,45.010033,45.054134,0
26,74.431496,67.2909,2
27,37.150642,38.210777,0
28,75.42666,67.574905,2
29,46.382534,42.62061,0
30,111.72288,90.53531,1
31,33.933594,32.829346,0
32,44.517963,41.592175,0
33,76.73436,68.30989,2
34,45.11995,43.5016,0
35,46.965355,43.47698,0
36,135.95801,115.540634,1
37,33.923786,32.50815,0
38,57.400764,53.02266,2
39,42.103184,42.51845,0
40,58.454124,53.04355,2
41,4.7541556,6.742329,0
42,11.149576,13.711384,0
43,67.89391,60.895676,2
44,74.697266,66.8961,2
45,54.245537,49.83701,2
46,80.76787,72.67725,2
47,118.255226,106.95241,1
48,43.487747,41.7795,0
49,80.14596,71.47996,2
50,20.617113,21.260519,0
51,27.550957,26.618448,0
52,134.78618,115.83382,1
53,73.82481,64.36744,2
54,38.95554,38.36338,0
55,14.609157,16.598291,0
56,17.442577,18.355745,0
57,65.674385,56.15225,2
58,87.985435,75.04518,2
59,39.940598,40.479446,0
60,133.39232,118.057686,1
61,148.74094,123.506226,1
62,157.81473,136.64594,1
63,25.993956,26.707182,0
64,78.33249,67.28255,2
65,125.89762,102.30837,1
66,46.55809,44.84914,0
67,104.43598,93.494156,2
68,80.54219,72.05045,2
69,42.00055,44.0465,0
70,11.006772,12.680949,0
71,12.255422,13.934787,0
72,54.332367,49.987045,2
73,84.01692,78.41323,2
74,30.996313,29.732119,0
75,32.946445,30.977552,0
76,33.453278,31.397371,0
77,85.53543,74.6553,2
78,51.843704,46.55931,0
79,48.69227,45.310917,0
80,75.153984,67.90517,2
81,42.031902,39.719414,0
82,234.02576,185.88596,1
83,69.82686,65.113075,2
84,108.57837,96.933624,1
85,58.516167,55.765526,2
86,80.96555,69.67612,2
87,153.75714,133.3946,1
88,52.645725,50.52187,2
89,54.35949,49.416492,2
90,56.716335,53.38405,2
91,60.93992,52.73576,2
92,217.97543,179.05132,1
93,83.727936,74.07431,2
94,83.191795,74.202774,2
95,103.375946,89.90987,2
96,59.1453,51.80798,2
97,33.780045,31.747847,0
98,57.32289,52.781784,2
99,26.92506,27.946049,0
100,42.71057,42.473194,0
101,31.781982,32.70575,0
102,51.523464,50.167774,0
103,30.224396,31.18915,0
104,80.909256,74.986015,2
105,79.09732,73.748344,2
106,168.48347,144.83876,1
107,72.39449,65.230064,2
108,-0.80779153,-0.33445048,0
109,95.37475,84.569466,2
110,60.852985,54.18322,2
111,63.405083,57.63417,2
112,28.499235,29.07263,0
113,59.013515,56.319992,2
114,27.87707,29.414934,0
115,31.81266,32.34487,0
116,36.706375,37.042347,0
117,54.973125,49.720818,2
118,57.148663,58.653683,2
119,75.19488,70.844666,2
120,72.99189,67.25802,2
121,39.378548,38.503998,0
122,47.31456,46.17502,0
123,35.55792,35.67492,0
124,16.299032,17.756712,0
125,42.268528,39.352524,0
126,20.825851,22.2017,0
127,50.93522,48.179005,0
128,37.34652,35.194115,0
129,28.230267,29.669138,0
130,31.247936,30.916168,0
131,72.847404,66.861374,2
132,58.464157,52.90948,2
133,48.563187,45.617805,0
134,26.590023,29.056524,0
135,68.29167,65.800064,2
136,10.66389,10.782103,0
137,47.4271,41.93118,0
138,109.950264,97.815094,1
139,73.72185,63.790894,2
140,114.58332,97.7872,1
