,0,1,2
"(2, 'relu', 1, 1)",100.0,-1.0,-1.0
"(2, 'relu', 1, 21)",100.0,-1.0,-1.0
"(2, 'relu', 1, 31)",100.0,-1.0,-1.0
"(2, 'relu', 1, 41)",97.94,1.5,0.0
"(2, 'relu', 1, 51)",88.66,29.5,0.0
"(2, 'relu', 1, 61)",72.16,45.0,34.38
"(2, 'relu', 1, 71)",71.13,52.5,40.62
"(2, 'relu', 1, 81)",72.16,43.0,28.12
"(2, 'relu', 1, 91)",50.52,62.0,0.0
"(2, 'relu', 11, 11)",53.61,45.5,78.12
"(2, 'relu', 11, 31)",100.0,-1.0,-1.0
"(2, 'relu', 11, 61)",63.92,50.0,46.88
"(2, 'relu', 11, 71)",67.01,50.0,46.88
"(2, 'relu', 21, 1)",61.86,55.0,37.5
"(2, 'relu', 21, 11)",50.52,40.5,81.25
"(2, 'relu', 21, 31)",44.33,41.0,81.25
"(2, 'relu', 21, 41)",64.95,50.5,46.88
"(2, 'relu', 21, 51)",64.95,49.5,46.88
"(2, 'relu', 21, 61)",69.07,49.0,46.88
"(2, 'relu', 21, 71)",64.95,52.5,46.88
"(2, 'relu', 21, 81)",52.58,41.0,81.25
"(2, 'relu', 21, 91)",51.55,70.5,0.0
"(2, 'relu', 31, 1)",98.97,0.5,0.0
"(2, 'relu', 31, 11)",62.89,49.5,50.0
"(2, 'relu', 31, 21)",64.95,43.5,65.62
"(2, 'relu', 31, 31)",65.98,50.0,46.88
"(2, 'relu', 31, 41)",64.95,48.0,46.88
"(2, 'relu', 31, 51)",52.58,40.0,81.25
"(2, 'relu', 31, 71)",67.01,50.0,46.88
"(2, 'relu', 31, 81)",68.04,48.0,46.88
"(2, 'relu', 31, 91)",55.67,45.0,75.0
"(2, 'relu', 41, 1)",100.0,-1.0,-1.0
"(2, 'relu', 41, 11)",63.92,50.5,50.0
"(2, 'relu', 41, 21)",67.01,51.0,46.88
"(2, 'relu', 41, 31)",76.29,28.5,0.0
"(2, 'relu', 41, 51)",63.92,51.5,46.88
"(2, 'relu', 41, 61)",60.82,42.0,3.12
"(2, 'relu', 41, 71)",64.95,51.0,46.88
"(2, 'relu', 41, 81)",65.98,50.0,46.88
"(2, 'relu', 51, 11)",65.98,51.5,46.88
"(2, 'relu', 51, 21)",67.01,51.0,46.88
"(2, 'relu', 51, 31)",64.95,51.0,46.88
"(2, 'relu', 51, 51)",100.0,-1.0,-1.0
"(2, 'relu', 51, 61)",70.1,46.5,46.88
"(2, 'relu', 51, 71)",67.01,51.5,46.88
"(2, 'relu', 51, 81)",68.04,48.0,46.88
"(2, 'relu', 51, 91)",100.0,-1.0,-1.0
"(2, 'relu', 61, 11)",63.92,52.0,46.88
"(2, 'relu', 61, 21)",49.48,55.5,65.62
"(2, 'relu', 61, 31)",78.35,41.0,46.88
"(2, 'relu', 61, 41)",67.01,50.5,46.88
"(2, 'relu', 61, 81)",78.35,42.0,46.88
"(2, 'relu', 61, 91)",68.04,49.0,46.88
"(2, 'relu', 71, 1)",61.86,37.0,0.0
"(2, 'relu', 71, 11)",48.45,47.0,75.0
"(2, 'relu', 71, 21)",100.0,-1.0,-1.0
"(2, 'relu', 71, 31)",60.82,57.5,46.88
"(2, 'relu', 71, 51)",67.01,50.0,46.88
"(2, 'relu', 71, 61)",79.38,40.0,46.88
"(2, 'relu', 71, 71)",80.41,38.0,46.88
"(2, 'relu', 71, 81)",79.38,38.5,43.75
"(2, 'relu', 71, 91)",77.32,42.5,46.88
"(2, 'relu', 81, 1)",64.95,50.5,46.88
"(2, 'relu', 81, 11)",65.98,50.0,46.88
"(2, 'relu', 81, 21)",100.0,-1.0,-1.0
"(2, 'relu', 81, 31)",65.98,50.5,46.88
"(2, 'relu', 81, 41)",71.13,45.5,46.88
"(2, 'relu', 81, 51)",70.1,46.5,46.88
"(2, 'relu', 81, 61)",79.38,39.5,46.88
"(2, 'relu', 81, 71)",69.07,47.0,46.88
"(2, 'relu', 81, 81)",67.01,48.5,46.88
"(2, 'relu', 81, 91)",65.98,22.5,3.12
