,0,1,2
"(2, 'relu', 91, 11)",64.95,50.5,46.88
"(2, 'relu', 91, 21)",100.0,-1.0,-1.0
"(2, 'relu', 91, 31)",77.32,36.0,56.25
"(2, 'relu', 91, 41)",74.23,43.0,46.88
"(2, 'relu', 91, 51)",61.86,55.5,46.88
"(2, 'relu', 91, 61)",65.98,49.5,46.88
"(2, 'relu', 91, 71)",78.35,40.5,40.62
"(2, 'relu', 91, 81)",67.01,49.0,46.88
"(2, 'relu', 91, 91)",80.41,37.5,46.88
"(2, 'relu', 101, 1)",100.0,-1.0,-1.0
"(2, 'relu', 101, 11)",70.1,46.0,46.88
"(2, 'relu', 101, 21)",76.29,43.0,46.88
"(2, 'relu', 101, 31)",69.07,44.5,46.88
"(2, 'relu', 101, 41)",79.38,38.5,46.88
"(2, 'relu', 101, 51)",100.0,-1.0,-1.0
"(2, 'relu', 101, 61)",79.38,41.0,34.38
"(2, 'relu', 101, 71)",70.1,46.5,0.0
"(2, 'relu', 101, 81)",71.13,46.0,46.88
"(2, 'relu', 101, 91)",69.07,47.5,46.88
"(2, 'relu', 111, 1)",65.98,50.5,46.88
"(2, 'relu', 111, 11)",62.89,49.5,46.88
"(2, 'relu', 111, 21)",65.98,49.5,46.88
"(2, 'relu', 111, 31)",62.89,50.5,46.88
"(2, 'relu', 111, 41)",70.1,45.0,46.88
"(2, 'relu', 111, 51)",68.04,50.0,46.88
"(2, 'relu', 111, 61)",70.1,47.0,0.0
"(2, 'relu', 111, 71)",77.32,42.0,46.88
"(2, 'relu', 111, 81)",100.0,-1.0,-1.0
"(2, 'relu', 111, 91)",81.44,39.5,31.25
"(2, 'relu', 121, 1)",63.92,50.0,46.88
"(2, 'relu', 121, 21)",70.1,48.0,46.88
"(2, 'relu', 121, 31)",64.95,49.5,46.88
"(2, 'relu', 121, 51)",67.01,50.0,46.88
"(2, 'relu', 121, 61)",75.26,45.5,0.0
"(2, 'relu', 121, 71)",100.0,-1.0,-1.0
"(2, 'relu', 121, 81)",78.35,40.0,46.88
"(2, 'relu', 121, 91)",100.0,-1.0,-1.0
"(2, 'relu', 131, 11)",65.98,49.0,46.88
"(2, 'relu', 131, 21)",67.01,50.5,46.88
"(2, 'relu', 131, 31)",64.95,51.5,46.88
"(2, 'relu', 131, 41)",80.41,38.0,46.88
"(2, 'relu', 131, 51)",74.23,41.5,46.88
"(2, 'relu', 131, 61)",64.95,38.5,65.62
"(2, 'relu', 131, 71)",100.0,-1.0,-1.0
"(2, 'relu', 131, 81)",79.38,38.0,43.75
"(2, 'relu', 131, 91)",64.95,54.0,46.88
"(2, 'relu', 141, 1)",62.89,52.5,46.88
"(2, 'relu', 141, 11)",68.04,50.0,46.88
"(2, 'relu', 141, 21)",70.1,46.5,46.88
"(2, 'relu', 141, 41)",79.38,41.0,46.88
"(2, 'relu', 141, 61)",70.1,46.0,46.88
"(2, 'relu', 141, 71)",65.98,51.0,46.88
"(2, 'relu', 141, 81)",73.2,44.0,46.88
"(2, 'relu', 141, 91)",79.38,39.5,46.88
"(2, 'relu', 151, 1)",49.48,54.5,65.62
"(2, 'relu', 151, 11)",64.95,51.0,46.88
"(2, 'relu', 151, 21)",69.07,47.0,46.88
"(2, 'relu', 151, 31)",70.1,49.0,46.88
"(2, 'relu', 151, 41)",72.16,32.0,0.0
"(2, 'relu', 151, 61)",63.92,50.0,46.88
"(2, 'relu', 151, 71)",78.35,40.0,46.88
"(2, 'relu', 151, 81)",64.95,50.0,46.88
"(2, 'relu', 151, 91)",67.01,49.5,46.88
"(2, 'relu', 161, 1)",100.0,-1.0,-1.0
"(2, 'relu', 161, 11)",68.04,49.0,46.88
"(2, 'relu', 161, 21)",78.35,41.5,46.88
"(2, 'relu', 161, 31)",72.16,45.5,46.88
"(2, 'relu', 161, 41)",76.29,42.0,46.88
"(2, 'relu', 161, 51)",84.54,33.0,37.5
"(2, 'relu', 161, 61)",78.35,40.5,46.88
"(2, 'relu', 161, 71)",80.41,39.0,43.75
"(2, 'relu', 161, 81)",80.41,38.0,37.5
"(2, 'relu', 161, 91)",69.07,47.5,46.88
"(2, 'relu', 171, 1)",43.3,39.0,75.0
"(2, 'relu', 171, 11)",67.01,50.0,46.88
"(2, 'relu', 171, 21)",75.26,43.0,46.88
"(2, 'relu', 171, 31)",79.38,40.0,46.88
"(2, 'relu', 171, 41)",64.95,48.5,46.88
"(2, 'relu', 171, 51)",70.1,45.5,46.88
"(2, 'relu', 171, 61)",78.35,41.5,46.88
"(2, 'relu', 171, 71)",79.38,40.0,46.88
"(2, 'relu', 171, 81)",100.0,-1.0,-1.0
"(2, 'relu', 171, 91)",67.01,48.5,46.88
"(2, 'relu', 181, 1)",63.92,52.5,46.88
"(2, 'relu', 181, 11)",69.07,47.0,46.88
"(2, 'relu', 181, 21)",100.0,-1.0,-1.0
"(2, 'relu', 181, 31)",67.01,50.5,46.88
"(2, 'relu', 181, 41)",75.26,41.5,46.88
"(2, 'relu', 181, 51)",82.47,35.5,31.25
"(2, 'relu', 181, 61)",67.01,52.0,46.88
"(2, 'relu', 181, 71)",77.32,41.5,46.88
"(2, 'relu', 181, 81)",75.26,42.0,46.88
"(2, 'relu', 181, 91)",100.0,-1.0,-1.0
"(2, 'relu', 191, 1)",55.67,73.5,0.0
"(2, 'relu', 191, 11)",63.92,49.5,46.88
"(2, 'relu', 191, 21)",100.0,-1.0,-1.0
"(2, 'relu', 191, 31)",79.38,37.5,46.88
"(2, 'relu', 191, 41)",64.95,49.5,46.88
"(2, 'relu', 191, 51)",68.04,48.5,46.88
"(2, 'relu', 191, 61)",70.1,46.5,46.88
"(2, 'relu', 191, 71)",64.95,53.0,46.88
"(2, 'relu', 191, 81)",70.1,46.0,46.88
"(2, 'relu', 191, 91)",80.41,38.0,46.88
"(2, 'relu', 201, 11)",80.41,40.0,31.25
"(2, 'relu', 201, 21)",65.98,51.0,46.88
"(2, 'relu', 201, 31)",67.01,50.0,46.88
"(2, 'relu', 201, 41)",78.35,41.5,46.88
"(2, 'relu', 201, 51)",70.1,45.5,46.88
"(2, 'relu', 201, 61)",79.38,39.5,46.88
"(2, 'relu', 201, 71)",67.01,49.5,46.88
"(2, 'relu', 201, 81)",70.1,45.0,46.88
"(2, 'relu', 201, 91)",67.01,50.0,46.88
"(2, 'relu', 211, 1)",53.61,63.0,37.5
"(2, 'relu', 211, 11)",77.32,42.0,46.88
"(2, 'relu', 211, 21)",69.07,47.0,46.88
"(2, 'relu', 211, 31)",76.29,41.5,46.88
"(2, 'relu', 211, 41)",63.92,55.5,46.88
"(2, 'relu', 211, 51)",77.32,31.0,0.0
"(2, 'relu', 211, 61)",72.16,44.0,46.88
"(2, 'relu', 211, 71)",68.04,49.0,46.88
"(2, 'relu', 211, 81)",76.29,41.5,46.88
"(2, 'relu', 211, 91)",76.29,42.0,46.88
"(2, 'relu', 221, 1)",100.0,-1.0,-1.0
"(2, 'relu', 221, 11)",70.1,46.0,46.88
"(2, 'relu', 221, 21)",69.07,48.0,46.88
"(2, 'relu', 221, 31)",70.1,47.0,46.88
"(2, 'relu', 221, 41)",64.95,54.0,46.88
"(2, 'relu', 221, 51)",70.1,45.5,46.88
"(2, 'relu', 221, 61)",69.07,45.5,46.88
"(2, 'relu', 221, 71)",78.35,40.5,46.88
"(2, 'relu', 221, 81)",80.41,39.0,31.25
"(2, 'relu', 221, 91)",73.2,43.0,46.88
"(2, 'relu', 231, 1)",65.98,50.0,46.88
"(2, 'relu', 231, 21)",68.04,49.0,46.88
"(2, 'relu', 231, 41)",68.04,50.0,46.88
"(2, 'relu', 231, 61)",81.44,37.5,31.25
"(2, 'relu', 231, 71)",79.38,38.0,46.88
"(2, 'relu', 231, 81)",69.07,46.5,46.88
"(2, 'relu', 231, 91)",76.29,42.5,46.88
"(2, 'relu', 241, 1)",65.98,50.5,46.88
"(2, 'relu', 241, 11)",69.07,47.5,46.88
"(2, 'relu', 241, 21)",72.16,44.5,46.88
"(2, 'relu', 241, 31)",76.29,44.0,46.88
"(2, 'relu', 241, 41)",67.01,50.0,46.88
"(2, 'relu', 241, 51)",81.44,38.5,31.25
"(2, 'relu', 241, 61)",82.47,36.0,31.25
"(2, 'relu', 241, 71)",78.35,41.0,46.88
"(2, 'relu', 241, 81)",79.38,40.0,46.88
"(2, 'relu', 241, 91)",71.13,48.5,46.88
"(2, 'relu', 251, 1)",65.98,49.0,46.88
"(2, 'relu', 251, 21)",81.44,36.5,46.88
"(2, 'relu', 251, 31)",63.92,51.0,46.88
"(2, 'relu', 251, 41)",100.0,-1.0,-1.0
"(2, 'relu', 251, 51)",70.1,46.0,46.88
"(2, 'relu', 251, 61)",70.1,44.0,46.88
"(2, 'relu', 251, 71)",100.0,-1.0,-1.0
"(2, 'relu', 251, 81)",70.1,46.0,46.88
"(2, 'relu', 251, 91)",78.35,41.0,46.88
"(2, 'relu', 261, 1)",67.01,50.5,46.88
"(2, 'relu', 261, 11)",70.1,47.0,46.88
"(2, 'relu', 261, 21)",68.04,44.5,46.88
"(2, 'relu', 261, 31)",70.1,45.5,46.88
"(2, 'relu', 261, 41)",71.13,48.5,46.88
"(2, 'relu', 261, 51)",78.35,41.5,46.88
"(2, 'relu', 261, 61)",80.41,37.5,46.88
"(2, 'relu', 261, 71)",70.1,45.0,46.88
"(2, 'relu', 261, 81)",81.44,39.0,31.25
"(2, 'relu', 261, 91)",81.44,37.5,31.25
"(2, 'relu', 271, 1)",100.0,-1.0,-1.0
"(2, 'relu', 271, 21)",70.1,44.5,46.88
"(2, 'relu', 271, 31)",77.32,42.0,46.88
"(2, 'relu', 271, 41)",70.1,46.0,46.88
"(2, 'relu', 271, 51)",81.44,39.0,34.38
"(2, 'relu', 271, 61)",69.07,45.0,46.88
"(2, 'relu', 271, 71)",76.29,43.5,46.88
"(2, 'relu', 271, 81)",76.29,42.0,46.88
"(2, 'relu', 271, 91)",78.35,40.5,46.88
"(2, 'relu', 281, 1)",63.92,53.5,46.88
"(2, 'relu', 281, 11)",70.1,45.0,46.88
"(2, 'relu', 281, 21)",76.29,30.5,0.0
"(2, 'relu', 281, 31)",70.1,45.0,46.88
"(2, 'relu', 281, 41)",70.1,45.0,46.88
"(2, 'relu', 281, 51)",75.26,43.0,46.88
"(2, 'relu', 281, 61)",75.26,42.5,46.88
"(2, 'relu', 281, 71)",76.29,41.5,46.88
"(2, 'relu', 281, 81)",78.35,30.5,0.0
"(2, 'relu', 281, 91)",83.51,33.5,37.5
"(2, 'relu', 291, 1)",100.0,0.5,0.0
"(2, 'relu', 291, 11)",80.41,39.5,40.62
"(2, 'relu', 291, 21)",81.44,40.0,37.5
"(2, 'relu', 291, 31)",67.01,50.5,46.88
"(2, 'relu', 291, 41)",77.32,41.0,46.88
"(2, 'relu', 291, 51)",78.35,41.0,46.88
"(2, 'relu', 291, 61)",76.29,41.0,46.88
"(2, 'relu', 291, 71)",81.44,37.5,46.88
"(2, 'relu', 291, 81)",76.29,30.5,0.0
"(2, 'relu', 291, 91)",81.44,35.5,46.88
"(2, 'linear', 1, 1)",73.2,47.0,37.5
"(2, 'linear', 1, 11)",62.89,55.0,46.88
"(2, 'linear', 1, 31)",78.35,44.5,28.12
"(2, 'linear', 1, 41)",73.2,45.0,34.38
"(2, 'linear', 1, 51)",62.89,53.0,43.75
"(2, 'linear', 1, 61)",73.2,48.5,37.5
"(2, 'linear', 1, 71)",74.23,48.0,37.5
"(2, 'linear', 1, 81)",65.98,54.5,46.88
"(2, 'linear', 1, 91)",76.29,46.5,37.5
"(2, 'linear', 11, 1)",71.13,54.5,40.62
"(2, 'linear', 11, 11)",69.07,50.0,43.75
"(2, 'linear', 11, 21)",68.04,48.0,46.88
"(2, 'linear', 11, 31)",72.16,52.0,37.5
"(2, 'linear', 11, 41)",73.2,46.5,28.12
"(2, 'linear', 11, 51)",74.23,47.0,34.38
"(2, 'linear', 11, 61)",67.01,49.5,46.88
"(2, 'linear', 11, 71)",69.07,52.5,43.75
"(2, 'linear', 11, 81)",65.98,51.5,46.88
"(2, 'linear', 11, 91)",64.95,49.5,46.88
"(2, 'linear', 21, 1)",68.04,49.0,46.88
"(2, 'linear', 21, 11)",69.07,53.0,46.88
"(2, 'linear', 21, 31)",63.92,53.5,46.88
"(2, 'linear', 21, 41)",65.98,48.0,46.88
"(2, 'linear', 21, 51)",62.89,52.5,46.88
"(2, 'linear', 21, 61)",61.86,53.0,46.88
"(2, 'linear', 21, 71)",67.01,50.5,46.88
"(2, 'linear', 21, 81)",61.86,54.5,46.88
"(2, 'linear', 21, 91)",62.89,51.0,46.88
"(2, 'linear', 31, 1)",73.2,49.0,37.5
"(2, 'linear', 31, 11)",64.95,52.0,46.88
"(2, 'linear', 31, 21)",65.98,48.5,46.88
"(2, 'linear', 31, 31)",63.92,53.5,46.88
"(2, 'linear', 31, 41)",62.89,57.0,46.88
"(2, 'linear', 31, 51)",62.89,54.5,46.88
"(2, 'linear', 31, 61)",62.89,55.5,46.88
"(2, 'linear', 31, 71)",61.86,53.5,46.88
"(2, 'linear', 31, 81)",67.01,53.0,46.88
"(2, 'linear', 31, 91)",63.92,52.0,46.88
"(2, 'linear', 41, 1)",50.52,53.0,62.5
"(2, 'linear', 41, 11)",63.92,54.0,46.88
"(2, 'linear', 41, 21)",62.89,51.5,46.88
"(2, 'linear', 41, 31)",67.01,51.0,46.88
"(2, 'linear', 41, 41)",62.89,53.0,46.88
"(2, 'linear', 41, 51)",61.86,53.5,46.88
"(2, 'linear', 41, 61)",62.89,52.0,46.88
"(2, 'linear', 41, 71)",61.86,54.0,46.88
"(2, 'linear', 41, 81)",64.95,52.0,46.88
"(2, 'linear', 41, 91)",64.95,52.5,46.88
"(2, 'linear', 51, 1)",65.98,52.0,50.0
"(2, 'linear', 51, 11)",63.92,52.0,46.88
"(2, 'linear', 51, 21)",64.95,52.0,46.88
"(2, 'linear', 51, 31)",65.98,51.5,46.88
"(2, 'linear', 51, 41)",65.98,53.5,46.88
"(2, 'linear', 51, 51)",64.95,52.0,46.88
"(2, 'linear', 51, 61)",67.01,51.0,46.88
"(2, 'linear', 51, 71)",65.98,53.5,46.88
"(2, 'linear', 51, 81)",64.95,51.0,46.88
"(2, 'linear', 51, 91)",65.98,53.5,46.88
"(2, 'linear', 61, 1)",61.86,52.5,46.88
"(2, 'linear', 61, 11)",65.98,52.0,46.88
"(2, 'linear', 61, 21)",64.95,53.0,46.88
"(2, 'linear', 61, 31)",67.01,51.5,46.88
"(2, 'linear', 61, 41)",65.98,52.0,46.88
"(2, 'linear', 61, 51)",63.92,54.0,46.88
"(2, 'linear', 61, 61)",63.92,51.0,46.88
"(2, 'linear', 61, 71)",64.95,56.5,46.88
"(2, 'linear', 61, 81)",69.07,51.0,46.88
"(2, 'linear', 61, 91)",63.92,52.5,46.88
"(2, 'linear', 71, 1)",67.01,54.0,43.75
"(2, 'linear', 71, 11)",62.89,51.5,46.88
"(2, 'linear', 71, 21)",64.95,53.5,46.88
"(2, 'linear', 71, 31)",67.01,50.0,46.88
"(2, 'linear', 71, 41)",63.92,55.5,46.88
"(2, 'linear', 71, 61)",62.89,54.0,46.88
"(2, 'linear', 71, 71)",65.98,52.0,46.88
"(2, 'linear', 71, 81)",64.95,52.0,46.88
"(2, 'linear', 71, 91)",67.01,51.0,46.88
"(2, 'linear', 81, 1)",60.82,53.5,46.88
"(2, 'linear', 81, 11)",64.95,52.0,46.88
"(2, 'linear', 81, 21)",63.92,53.0,46.88
"(2, 'linear', 81, 31)",62.89,53.0,46.88
"(2, 'linear', 81, 41)",63.92,52.5,46.88
"(2, 'linear', 81, 51)",63.92,53.5,46.88
"(2, 'linear', 81, 61)",65.98,51.0,46.88
"(2, 'linear', 81, 71)",63.92,51.0,46.88
"(2, 'linear', 81, 81)",67.01,50.5,46.88
"(2, 'linear', 81, 91)",64.95,53.0,46.88
"(2, 'linear', 91, 1)",65.98,51.0,46.88
"(2, 'linear', 91, 11)",62.89,52.5,46.88
"(2, 'linear', 91, 21)",62.89,52.5,46.88
"(2, 'linear', 91, 31)",65.98,53.0,46.88
"(2, 'linear', 91, 41)",65.98,53.0,46.88
"(2, 'linear', 91, 51)",64.95,54.5,46.88
"(2, 'linear', 91, 61)",67.01,51.5,46.88
"(2, 'linear', 91, 71)",64.95,51.5,46.88
"(2, 'linear', 91, 81)",68.04,50.0,46.88
"(2, 'linear', 91, 91)",65.98,53.0,46.88
"(2, 'linear', 101, 1)",61.86,52.0,46.88
"(2, 'linear', 101, 11)",67.01,51.5,46.88
"(2, 'linear', 101, 21)",65.98,51.5,46.88
"(2, 'linear', 101, 31)",65.98,53.5,46.88
"(2, 'linear', 101, 41)",65.98,51.5,46.88
"(2, 'linear', 101, 51)",63.92,51.5,46.88
"(2, 'linear', 101, 61)",63.92,52.5,46.88
"(2, 'linear', 101, 71)",64.95,53.0,46.88
"(2, 'linear', 101, 81)",64.95,52.0,46.88
"(2, 'linear', 101, 91)",67.01,51.0,46.88
"(2, 'linear', 111, 1)",69.07,49.5,46.88
"(2, 'linear', 111, 11)",64.95,53.5,46.88
"(2, 'linear', 111, 21)",65.98,54.0,46.88
"(2, 'linear', 111, 41)",67.01,52.5,46.88
"(2, 'linear', 111, 51)",63.92,51.5,46.88
"(2, 'linear', 111, 61)",63.92,52.5,46.88
"(2, 'linear', 111, 71)",64.95,51.0,46.88
"(2, 'linear', 111, 81)",65.98,52.0,46.88
"(2, 'linear', 111, 91)",67.01,50.5,46.88
"(2, 'linear', 121, 1)",62.89,53.5,46.88
"(2, 'linear', 121, 11)",64.95,51.5,46.88
"(2, 'linear', 121, 21)",63.92,54.0,46.88
"(2, 'linear', 121, 31)",63.92,52.0,46.88
"(2, 'linear', 121, 41)",65.98,51.5,46.88
"(2, 'linear', 121, 51)",63.92,52.0,46.88
"(2, 'linear', 121, 61)",67.01,51.5,46.88
"(2, 'linear', 121, 71)",65.98,51.5,46.88
"(2, 'linear', 121, 81)",65.98,54.0,46.88
"(2, 'linear', 121, 91)",68.04,51.0,46.88
"(2, 'linear', 131, 1)",73.2,51.5,43.75
"(2, 'linear', 131, 11)",64.95,52.0,46.88
"(2, 'linear', 131, 21)",62.89,52.5,46.88
"(2, 'linear', 131, 31)",65.98,52.5,46.88
"(2, 'linear', 131, 41)",63.92,54.0,46.88
"(2, 'linear', 131, 51)",63.92,53.0,46.88
"(2, 'linear', 131, 61)",67.01,50.5,46.88
"(2, 'linear', 131, 71)",64.95,53.0,46.88
"(2, 'linear', 131, 81)",64.95,51.0,46.88
"(2, 'linear', 131, 91)",62.89,52.0,46.88
"(2, 'linear', 141, 1)",60.82,57.5,46.88
"(2, 'linear', 141, 11)",62.89,52.5,46.88
"(2, 'linear', 141, 21)",60.82,58.0,46.88
"(2, 'linear', 141, 31)",64.95,52.5,46.88
"(2, 'linear', 141, 41)",63.92,54.0,46.88
"(2, 'linear', 141, 51)",68.04,50.5,46.88
"(2, 'linear', 141, 61)",65.98,52.0,46.88
"(2, 'linear', 141, 71)",65.98,50.5,46.88
"(2, 'linear', 141, 81)",64.95,51.0,46.88
"(2, 'linear', 141, 91)",68.04,51.5,46.88
"(2, 'linear', 151, 1)",62.89,52.0,46.88
"(2, 'linear', 151, 11)",63.92,54.0,46.88
"(2, 'linear', 151, 21)",65.98,52.0,46.88
"(2, 'linear', 151, 31)",65.98,51.0,46.88
"(2, 'linear', 151, 41)",64.95,52.0,46.88
"(2, 'linear', 151, 51)",67.01,52.0,46.88
"(2, 'linear', 151, 61)",69.07,50.0,46.88
"(2, 'linear', 151, 71)",67.01,50.0,46.88
"(2, 'linear', 151, 81)",62.89,52.0,46.88
"(2, 'linear', 151, 91)",65.98,52.0,46.88
"(2, 'linear', 161, 1)",60.82,54.0,46.88
"(2, 'linear', 161, 11)",62.89,51.5,46.88
"(2, 'linear', 161, 21)",63.92,53.0,46.88
"(2, 'linear', 161, 31)",65.98,52.5,46.88
"(2, 'linear', 161, 41)",65.98,52.0,46.88
"(2, 'linear', 161, 51)",63.92,52.5,46.88
"(2, 'linear', 161, 61)",67.01,50.0,46.88
"(2, 'linear', 161, 71)",62.89,50.5,46.88
"(2, 'linear', 161, 81)",63.92,52.0,46.88
"(2, 'linear', 161, 91)",62.89,50.5,46.88
"(2, 'linear', 171, 1)",62.89,52.0,46.88
"(2, 'linear', 171, 11)",63.92,51.5,46.88
"(2, 'linear', 171, 21)",67.01,53.0,46.88
"(2, 'linear', 171, 31)",63.92,54.5,46.88
"(2, 'linear', 171, 41)",63.92,55.0,46.88
"(2, 'linear', 171, 51)",63.92,51.5,46.88
"(2, 'linear', 171, 71)",68.04,52.0,46.88
"(2, 'linear', 171, 81)",62.89,51.5,46.88
"(2, 'linear', 171, 91)",65.98,51.5,46.88
"(2, 'linear', 181, 1)",61.86,55.0,46.88
"(2, 'linear', 181, 11)",65.98,50.5,46.88
"(2, 'linear', 181, 21)",62.89,51.5,46.88
"(2, 'linear', 181, 31)",64.95,54.5,46.88
"(2, 'linear', 181, 41)",65.98,53.0,46.88
"(2, 'linear', 181, 61)",64.95,52.0,46.88
"(2, 'linear', 181, 71)",68.04,51.0,46.88
"(2, 'linear', 181, 81)",67.01,51.0,46.88
"(2, 'linear', 181, 91)",62.89,51.0,46.88
"(2, 'linear', 191, 1)",64.95,49.5,46.88
"(2, 'linear', 191, 11)",62.89,51.0,46.88
"(2, 'linear', 191, 21)",64.95,53.0,46.88
"(2, 'linear', 191, 31)",63.92,53.0,46.88
"(2, 'linear', 191, 41)",64.95,53.0,46.88
"(2, 'linear', 191, 61)",65.98,52.0,46.88
"(2, 'linear', 191, 71)",63.92,51.5,46.88
"(2, 'linear', 191, 81)",67.01,52.0,46.88
"(2, 'linear', 191, 91)",61.86,54.5,46.88
"(2, 'linear', 201, 1)",69.07,49.5,46.88
"(2, 'linear', 201, 11)",65.98,51.0,46.88
"(2, 'linear', 201, 21)",63.92,53.5,46.88
"(2, 'linear', 201, 31)",65.98,52.5,46.88
"(2, 'linear', 201, 41)",64.95,53.5,46.88
"(2, 'linear', 201, 51)",63.92,53.0,46.88
"(2, 'linear', 201, 61)",65.98,51.5,46.88
"(2, 'linear', 201, 71)",67.01,50.5,46.88
"(2, 'linear', 201, 91)",89.69,29.0,0.0
"(2, 'linear', 211, 1)",65.98,53.0,46.88
"(2, 'linear', 211, 11)",67.01,52.0,46.88
"(2, 'linear', 211, 21)",65.98,53.0,46.88
"(2, 'linear', 211, 31)",62.89,51.5,46.88
"(2, 'linear', 211, 41)",67.01,50.0,46.88
"(2, 'linear', 211, 51)",62.89,52.0,46.88
"(2, 'linear', 211, 61)",67.01,50.0,46.88
"(2, 'linear', 211, 71)",65.98,52.0,46.88
"(2, 'linear', 211, 81)",86.6,32.0,0.0
"(2, 'linear', 211, 91)",90.72,29.0,0.0
"(2, 'linear', 221, 1)",64.95,52.0,46.88
"(2, 'linear', 221, 11)",63.92,54.0,46.88
"(2, 'linear', 221, 21)",63.92,52.5,46.88
"(2, 'linear', 221, 31)",65.98,52.0,46.88
"(2, 'linear', 221, 41)",67.01,51.0,46.88
"(2, 'linear', 221, 51)",68.04,51.5,46.88
"(2, 'linear', 221, 61)",68.04,50.5,46.88
"(2, 'linear', 221, 71)",69.07,51.0,46.88
"(2, 'linear', 221, 81)",63.92,50.0,46.88
"(2, 'linear', 221, 91)",90.72,28.5,0.0
"(2, 'linear', 231, 1)",65.98,50.5,46.88
"(2, 'linear', 231, 11)",64.95,53.0,46.88
"(2, 'linear', 231, 21)",63.92,53.5,46.88
"(2, 'linear', 231, 31)",65.98,52.0,46.88
"(2, 'linear', 231, 41)",65.98,52.5,46.88
"(2, 'linear', 231, 51)",65.98,52.5,46.88
