,0,1,kmeans_cluster
0,130.66113,33.666843,2
1,67.83429,98.45848,0
2,-96.41062,-76.634346,0
3,13.936425,-80.41113,1
4,-99.01597,-72.25623,0
5,3.257927,23.249945,1
6,72.90895,-46.85545,1
7,41.20311,15.863535,1
8,15.050429,22.403257,1
9,-4.3449383,93.208435,0
10,34.34725,23.098158,1
11,49.041237,-37.57878,1
12,-0.8276411,20.141785,1
13,54.59478,-70.21673,1
14,16.425997,-14.231529,1
15,-6.776894,101.69178,0
16,42.935753,22.457287,2
17,-97.627174,-72.50742,0
18,65.729744,24.98018,2
19,56.826202,-65.32282,1
20,5.1655254,27.027264,1
21,-89.44925,19.809746,0
22,67.92052,-52.001137,1
23,-80.364876,-19.781534,0
24,49.148167,24.27249,2
25,-52.50145,90.77449,0
26,-90.96676,-10.699116,0
27,57.378635,-43.434296,1
28,-89.839,-7.7740054,0
29,-79.20878,-18.566378,0
30,98.272896,27.228428,2
31,-50.914566,89.41398,0
32,-25.992573,-70.17191,1
33,-75.20992,-1.8257232,0
34,-16.54627,-80.661095,1
35,71.31239,95.80035,0
36,68.853294,86.574104,0
37,18.912485,-69.9569,1
38,49.90754,-34.3501,1
39,-19.420721,-83.35999,1
40,11.023614,-12.213231,1
41,82.282776,26.300035,2
42,-87.58102,-9.079901,0
43,9.549019,-9.591412,1
44,-102.692,-75.323814,0
45,-3.734922,92.37284,0
46,98.95787,26.13357,2
47,57.14711,72.98885,0
48,-9.664986,-85.53249,1
49,-99.68684,25.199875,0
50,101.04736,26.682865,2
51,111.496765,29.323008,2
52,126.1758,29.929964,2
53,-4.151153,100.63248,0
54,69.99897,25.214378,2
55,-64.79605,-16.41628,0
56,45.38791,21.704494,2
57,7.898698,-9.164451,1
58,-72.93222,0.27921128,0
59,70.68213,86.92808,0
60,63.474697,84.89389,0
61,-38.059055,-57.683525,1
62,0.6453301,11.444823,1
63,-28.45558,97.91859,0
64,-36.15753,97.70209,0
65,-38.897785,100.221886,0
66,-68.226295,-18.001062,0
67,68.114296,-50.970215,1
68,133.22353,39.949905,2
69,56.47578,-66.365395,1
70,55.117935,18.320736,2
71,124.91901,30.018042,2
72,-40.557785,-71.075615,1
73,-38.14533,-56.411655,1
74,134.02261,39.28706,2
75,14.303435,-12.279601,1
76,8.52474,-7.294437,1
77,41.247196,14.840384,1
78,-16.230772,-73.988525,1
79,-14.314399,-84.614845,1
80,6.9538813,94.62942,0
81,-74.71027,-0.8917069,0
82,26.321693,109.17255,0
83,-39.692333,-79.39767,1
84,18.539652,95.63079,0
85,128.78867,31.265574,2
86,49.400436,-49.438732,1
87,32.576626,23.014788,1
88,-12.05117,-85.01416,1
89,12.157118,-76.93846,1
90,7.368749,96.225,0
91,5.2923717,-74.68248,1
92,12.976504,95.26524,0
93,-52.90106,98.04464,0
94,-24.66263,-50.99728,0
95,73.796844,-47.720005,1
96,59.24761,-61.89085,1
97,-88.480415,17.842295,0
98,-58.492786,-28.915485,0
99,57.787006,73.92783,0
100,-83.85261,12.756124,0
101,-101.5061,-79.20596,0
102,-33.895267,-56.3032,0
103,-50.38276,85.11404,0
104,14.859681,95.28198,0
105,-33.418915,95.07625,0
106,60.354378,-60.672985,1
107,-23.688679,-60.371956,1
108,-69.2049,-18.528639,0
109,5.907427,92.86176,0
110,65.33873,93.24618,0
111,-82.91738,-19.683298,0
112,56.09471,18.917835,2
113,19.901184,-66.83055,1
114,63.737667,23.51095,2
115,-55.90988,-32.157757,1
116,64.54757,93.92261,0
117,96.766685,17.617817,2
118,55.79279,-43.015076,1
119,6.304771,-75.43309,1
120,69.62066,-47.84074,1
121,20.888765,95.78119,0
122,27.577929,107.93537,0
123,115.47629,30.593128,2
124,58.80037,75.41655,0
125,-80.343216,-17.753265,0
126,-7.4292307,103.76804,0
127,100.21255,24.526455,2
128,24.786125,-91.031555,1
129,-4.9027624,21.71546,1
130,36.407356,-35.062885,1
131,-24.26927,-69.38379,1
132,19.421623,-89.45076,1
133,-22.454414,-63.529453,1
134,-40.534233,101.42455,0
135,55.870636,13.577445,2
136,66.78602,89.995094,0
137,-80.95797,-22.122551,0
138,128.87703,32.50306,2
139,67.44251,86.97179,0
140,14.437729,21.445986,1
141,-41.810787,-71.725464,1
142,18.269741,-76.50361,1
143,-35.399292,96.37512,0
144,-75.69188,5.554345,0
145,11.764928,30.382376,1
146,62.79617,22.538666,2
147,-23.544132,-53.154934,1
148,34.988174,-33.755432,1
149,-96.16961,-73.92852,0
150,47.122974,-54.56549,1
151,-101.315506,-72.715256,0
152,68.43404,23.967083,2
153,13.204312,-13.575719,1
154,9.616355,-13.822764,1
155,64.57423,83.93285,0
156,25.6831,111.17808,0
157,7.6482506,-76.498116,1
158,49.60149,-35.69193,1
159,-6.048958,22.154465,1
160,97.33992,19.046043,2
161,-39.813274,-54.933308,0
162,0.49648115,20.85547,1
163,72.5331,88.83496,0
164,-77.04072,-18.226336,0
165,-27.963932,-71.077324,1
166,-66.20207,-17.075087,0
167,29.18595,107.200005,0
168,-101.83641,-80.4394,0
169,53.126534,-70.11355,1
170,-23.235775,-61.494625,1
171,48.14579,-52.748314,1
172,67.61997,-45.354195,1
173,-71.6671,-18.465807,1
174,-49.983303,86.98702,0
175,-53.261723,99.095604,0
176,98.46207,22.990963,2
177,-16.775679,-82.60738,1
178,-54.487625,89.8008,0
179,-7.592532,100.81659,0
180,-34.188072,-72.08176,1
181,58.748245,-43.817776,1
182,34.090225,-32.945923,1
183,17.172068,-74.76476,1
184,25.72004,107.89478,0
185,-16.262747,-75.11924,1
186,-89.777435,18.524376,0
187,23.138416,95.78845,0
188,-94.144005,-5.684237,0
189,-34.72872,94.35669,0
190,-20.788351,-65.14183,1
191,66.11921,23.822426,2
192,46.734146,-38.34283,1
193,-89.66534,-8.88937,0
194,-72.11701,2.7734013,0
195,-45.197796,85.28341,0
196,10.888887,95.257484,0
197,66.495605,98.227875,0
198,20.152922,-69.02343,1
199,5.258886,-81.94854,1
200,50.24834,-38.845592,1
201,47.236347,21.33054,2
202,65.852745,83.41544,0
203,48.169827,-50.91301,1
204,56.336224,-71.18445,1
205,-101.40825,-77.735306,0
206,2.3138378,21.41393,1
207,-56.609848,-31.334332,1
208,-35.66018,-71.9162,1
209,17.02278,87.129524,0
210,48.138382,-49.12921,1
211,58.16209,-63.63123,1
212,16.433693,86.28447,0
213,-50.775368,93.7164,0
214,57.440083,13.382586,2
215,0.7265371,12.535071,1
216,17.210922,21.967167,1
217,-27.406649,97.966995,0
218,-99.95172,25.816525,0
219,21.938215,-69.20496,1
220,25.587215,-90.286194,1
221,-26.06411,-56.299065,1
222,12.72619,-78.501915,1
223,3.6653922,19.790684,1
224,54.727013,13.820852,2
225,-32.831085,-72.197235,1
226,-40.84755,-79.15456,1
227,-51.392746,92.49348,0
228,83.48298,26.43932,2
229,-56.013294,88.49021,0
230,-86.20135,15.030957,0
231,6.435718,-81.76648,1
232,-94.74455,-73.99899,0
233,-37.725475,99.25951,0
234,127.96881,28.683163,2
235,-60.307983,-26.29287,0
236,6.8660994,97.52379,0
237,20.616745,-87.88117,1
238,-93.39047,-6.7626066,0
239,11.275547,29.41545,1
240,14.498679,-14.207923,1
241,110.399895,28.963049,2
242,-45.23915,-72.10756,1
243,51.63122,-69.88686,1
244,3.0437047,-73.34606,1
245,-24.957205,-71.00701,1
246,-36.215584,-56.882614,1
247,21.08898,-89.03284,1
248,16.829264,-69.60418,1
249,87.78518,26.842772,2
250,17.01035,95.49288,0
251,12.456112,-74.69777,1
252,-15.814663,-83.679054,1
253,13.41628,23.770355,1
254,33.111618,24.17589,1
255,86.74977,26.709164,2
256,25.13874,95.61137,0
257,-24.806797,-53.449608,0
258,-59.196804,-27.921356,0
259,-0.30347583,17.718487,1
260,70.69591,96.696365,0
261,-43.932507,-72.06485,1
262,130.5425,35.54968,2
263,-46.35264,85.39805,0
264,47.70784,22.596447,2
265,-74.58878,-18.254345,0
266,4.260856,25.318121,1
267,98.07017,21.084743,2
268,-85.39624,14.116812,0
269,-7.782161,23.214703,1
270,-74.81496,4.8446846,0
271,-3.2169187,100.03927,0
272,114.381996,30.22027,2
273,68.3237,-46.385235,1
