,0,1,2,3,4,5,kmeans_cluster
0,-213.12769,-340.5407,159.44498,179.47679,20.182943,-138.79106,0
1,-376.7405,-428.09555,130.4707,248.53604,-114.0379,-14.287741,0
2,-205.34387,-269.07953,66.156,21.92885,-114.74199,51.79645,0
3,-312.0048,-361.53198,41.140858,127.34284,-158.2345,31.274221,0
4,-213.43472,-302.52466,72.33088,87.92912,-71.55425,-37.754986,0
5,-237.36557,-307.97693,30.951157,63.75241,-125.80836,12.078611,0
6,-308.75146,-378.7812,93.440994,189.80412,-97.60433,-41.22593,0
7,-392.59003,-442.35785,76.97186,246.51643,-146.85318,-19.04224,0
8,-357.15665,-390.4518,63.91776,165.50864,-168.14687,48.795105,0
9,-381.92685,-432.2432,133.2244,261.837,-111.52581,-23.270979,0
10,-311.49307,-381.89453,100.16805,192.80418,-93.284904,-39.86787,0
11,-279.85596,-345.28485,79.23638,136.43799,-108.45645,-10.85974,0
12,-207.1174,-284.95395,48.94925,46.18413,-102.99174,7.431737,0
13,-245.66919,-339.44965,89.92051,144.90465,-62.203,-68.33108,0
14,-266.09543,-331.1968,132.02043,130.30797,-75.58845,4.466244,0
15,-235.00267,-320.40656,112.5209,121.6991,-58.44693,-38.487537,0
16,-308.39853,-372.07388,81.97868,173.02681,-113.12941,-22.227644,0
17,-331.2505,-386.7193,126.82684,199.54886,-102.03171,-6.0149894,0
18,-305.2532,-357.3452,38.604095,128.62137,-151.90446,18.867344,0
19,-210.1662,-287.42358,77.9053,65.69456,-83.24144,-5.100143,0
20,-190.37772,-296.69125,114.18123,98.01986,-26.105911,-69.74679,0
21,-177.55624,-251.40018,63.664948,18.871725,-86.3573,21.71442,0
22,-282.70197,-361.46237,148.88464,182.24904,-53.662434,-44.5822,0
23,-292.54718,-361.34546,89.6734,154.76562,-100.59289,-17.062405,0
24,-444.72742,-476.8794,105.259674,304.10052,-157.01819,-9.530315,0
25,-278.27692,-347.37946,49.04052,126.53172,-121.088104,-13.919998,0
26,-289.024,-358.69354,86.34075,157.14754,-98.2113,-24.781693,0
27,-222.16026,-300.71265,56.525154,71.04637,-95.771255,-7.5607214,0
28,-339.77548,-400.85458,73.484985,203.50165,-126.47276,-27.576214,0
29,-260.79938,-323.11957,82.4002,108.32667,-108.29529,9.985117,0
30,-257.1055,-344.75,116.076584,154.14906,-58.745064,-55.265186,0
31,-179.49275,-263.2816,59.19199,33.278114,-80.670586,-7.179447,0
32,-246.36101,-303.1434,128.7653,86.7661,-86.36779,40.409233,0
33,-275.9055,-344.97458,110.958954,143.162,-84.905975,-11.872281,0
34,-292.1432,-347.62692,90.45015,127.80067,-118.10707,21.398472,0
35,-221.59073,-302.74066,56.42572,77.09241,-94.11247,-17.57096,0
36,-223.28734,-326.46906,150.81422,153.31181,-12.380094,-82.30359,0
37,-226.0981,-298.60864,58.04321,68.84251,-102.39535,5.9253716,0
38,-258.77982,-330.5097,72.782295,117.557755,-98.7119,-14.5521345,0
39,-260.33936,-330.35947,66.40259,105.73332,-109.94027,0.4569868,0
40,-311.1256,-361.1736,110.71242,154.51183,-112.725395,23.19031,0
41,-335.81653,-368.29413,49.79456,125.71262,-184.28598,74.64627,0
42,-260.27884,-321.36383,23.581528,78.2986,-143.27394,26.20228,0
43,-329.93396,-384.90665,97.8578,181.18765,-121.12518,2.0146875,0
44,-123.9864,-234.6845,83.65846,16.929518,-24.457432,-58.2986,0
45,-228.24466,-309.80954,68.317726,89.01747,-89.53652,-20.194923,0
46,-290.04086,-364.77536,94.08219,159.50305,-91.62266,-28.41829,0
47,-265.2959,-364.30075,108.2415,181.22374,-49.81139,-90.65605,0
48,-260.88785,-326.41183,77.41561,103.05489,-106.96334,9.953614,0
49,-207.51031,-305.92004,76.001274,94.75453,-58.71788,-58.427456,0
50,-506.8314,-499.77933,52.480793,277.11267,-252.35423,86.05609,0
51,-206.6079,-283.14838,46.0417,49.696274,-101.91531,2.2054949,0
52,-261.96243,-360.6983,133.43088,183.77072,-34.989845,-85.01497,0
53,-228.95212,-324.57587,48.774235,108.39167,-84.50164,-57.06046,0
54,-244.52458,-313.20563,72.36834,87.85695,-103.81521,8.079956,0
55,-413.66083,-428.69217,59.7832,195.55344,-204.4323,81.97178,0
56,-259.2729,-318.0639,46.525784,80.27438,-135.62616,30.944815,0
57,-212.02492,-289.99246,119.97043,77.42724,-62.91152,-0.19320893,0
58,-284.93356,-355.0691,107.30027,163.95172,-86.79687,-29.955996,0
59,-249.77652,-315.6293,82.702675,92.85669,-101.17485,13.446706,0
60,-254.90083,-355.42206,137.0209,183.22957,-29.607048,-92.04333,0
61,-339.86893,-413.7622,172.47517,261.77362,-55.413567,-64.84493,0
62,-312.44278,-411.3578,137.74654,261.42285,-40.376217,-123.34912,0
63,-260.2039,-330.60867,8.563515,96.48791,-139.57916,-10.538567,0
64,-335.48477,-389.17935,101.21689,197.35707,-116.999306,-8.739346,0
65,-229.25787,-327.10513,138.18842,144.04672,-29.811745,-68.322685,0
66,-251.79538,-338.1104,3.4613693,109.23245,-121.6331,-48.083103,0
67,-320.5555,-383.1005,154.77167,209.24461,-75.24792,-22.37462,0
68,-226.01369,-307.15164,124.60489,106.92669,-54.662395,-21.89643,0
69,-256.4678,-341.55194,11.286971,108.981415,-121.29594,-41.022007,0
70,-614.2479,-582.14465,9.796675,356.34283,-325.83325,98.01742,0
71,-229.19899,-302.5545,13.418284,53.78888,-132.70543,11.56646,0
72,-263.90564,-331.84436,73.813965,118.03248,-103.43165,-7.1116085,0
73,-247.31839,-328.79688,119.98534,132.47792,-60.914074,-32.053993,0
74,-288.9817,-348.5585,37.81205,116.945114,-140.98709,12.080035,0
75,-262.71082,-322.71075,61.13881,95.84577,-121.007,16.89521,0
76,-287.73114,-338.73712,84.841705,113.913185,-129.38464,38.93721,0
77,-310.47803,-375.14407,110.81677,180.32455,-97.50258,-18.39586,0
78,-283.93768,-334.7568,114.81129,127.761284,-105.30306,30.338072,0
79,-247.95308,-326.145,39.56468,104.93457,-109.12529,-26.148405,0
80,-332.30014,-389.21875,99.62384,195.02628,-116.41044,-11.587794,0
81,-217.52446,-294.88217,67.33008,69.50685,-91.497314,-3.4350646,0
82,-374.9316,-468.3333,236.22397,364.3675,-3.776615,-137.82463,0
83,-313.48895,-373.33224,99.47008,173.22673,-107.418076,-7.349013,0
84,-267.33475,-359.45135,105.55436,174.45695,-61.18037,-74.52988,0
85,-261.81882,-345.2552,28.94476,129.31934,-110.43643,-47.09958,0
86,-284.25446,-356.5423,95.89695,156.4543,-94.013054,-26.500597,0
87,-229.13962,-343.24072,147.58934,178.09079,-3.7865007,-116.32095,0
88,-279.88196,-345.53116,77.9826,128.8478,-108.47867,-1.6773384,0
89,-278.61575,-341.69128,80.42653,130.02388,-109.47781,1.3346337,0
90,-220.88414,-303.8831,71.20012,90.45913,-82.81771,-27.547098,0
91,-248.58022,-320.37958,79.92148,110.11828,-91.89127,-13.078667,0
92,-362.8486,-465.9425,197.63937,356.366,-11.888155,-162.64171,0
93,-288.0514,-357.63547,107.85247,164.29764,-87.77541,-23.602585,0
94,-187.69145,-283.99454,106.67042,77.66223,-38.879265,-43.673702,0
95,-445.35385,-476.1461,152.94405,312.56924,-135.03471,0.44408613,0
96,-295.05978,-351.94833,87.16152,146.9359,-113.14958,6.1567173,0
97,-299.7795,-353.9268,47.901905,130.30156,-143.58585,15.429156,0
98,-224.30847,-295.88998,112.104866,84.9349,-72.54269,4.869013,0
99,-238.36333,-312.21387,33.549686,74.24043,-118.638115,2.6793647,0
