,0,1,kmeans_cluster
0,119.964424,243.48428,1
1,88.196686,190.29382,2
2,49.143036,108.67458,0
3,63.251076,127.04099,0
4,82.293495,157.49059,2
5,64.26143,121.39209,0
6,90.25526,182.90575,2
7,88.07943,175.52779,2
8,70.74822,136.22888,0
9,88.931076,195.28427,2
10,92.16941,183.0161,2
11,78.282135,161.18243,2
12,66.84021,125.150185,0
13,95.16536,186.20348,2
14,78.64884,164.35405,2
15,86.79661,175.4018,2
16,81.77738,165.20988,2
17,80.93021,173.82463,2
18,73.16473,136.3509,0
19,68.9653,141.32303,0
20,90.05373,184.21455,2
21,57.19531,116.98114,0
22,95.32341,195.95488,2
23,82.65472,161.21199,2
24,89.51794,195.64749,2
25,77.83713,146.50398,0
26,88.61617,170.02834,2
27,69.89759,134.72627,0
28,84.40227,175.35603,2
29,69.54347,146.71559,0
30,93.131195,196.40659,2
31,65.07871,131.38632,0
32,63.060658,134.79942,0
33,84.07949,166.19865,2
34,72.91338,144.17563,0
35,74.43827,144.94728,0
36,103.15787,211.45338,1
37,69.3522,131.8683,0
38,82.311226,155.74632,2
39,72.34986,140.89749,0
40,76.75194,155.4853,0
41,56.20259,120.089775,0
42,63.631428,116.12347,0
43,81.31345,165.97775,2
44,75.11854,157.42256,2
45,75.58116,148.9221,0
46,90.03986,173.30684,2
47,102.39816,201.98557,1
48,72.87358,142.79903,0
49,87.64933,169.54764,2
50,71.35732,147.36244,0
51,66.89031,128.33261,0
52,107.73786,214.09734,1
53,88.073296,164.64389,2
54,72.347084,136.90195,0
55,68.197784,127.75268,0
56,63.641594,122.62681,0
57,73.73983,155.5169,0
58,84.78652,179.08182,2
59,67.92448,136.32715,0
60,104.87021,211.38374,1
61,100.71215,225.10478,1
62,111.70594,236.24094,1
63,72.4419,133.1015,0
64,85.40836,174.68779,2
65,95.54654,206.16696,1
66,85.19003,149.26414,0
67,90.363815,188.71187,2
68,79.46073,166.0092,2
69,83.00257,143.88219,0
70,77.1477,154.12596,0
71,66.10492,118.51637,0
72,77.45034,152.25703,0
73,82.465996,169.42741,2
74,73.832924,135.79007,0
75,68.86602,136.09341,0
76,66.31545,134.44682,0
77,85.26542,176.93039,2
78,68.59239,148.44202,0
79,77.12906,146.17111,0
80,82.10414,172.8078,2
81,71.600555,137.81674,0
82,122.44748,293.25485,1
83,83.60586,164.16881,2
84,94.69699,192.88739,2
