,0,1,2,3,4,5
"(2, 11)",74.07,38.57,31.43,20.0,14.29,0.0
"(2, 14)",70.37,41.43,32.86,20.0,10.71,0.0
"(2, 17)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(2, 20)",74.07,41.43,32.14,18.33,14.29,0.0
"(2, 32)",77.78,42.86,32.86,18.33,14.29,0.0
"(2, 35)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(2, 50)",74.07,40.0,29.29,18.33,10.71,0.0
"(2, 53)",74.07,45.71,32.86,18.33,14.29,0.0
"(2, 65)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(2, 80)",74.07,44.29,32.86,18.33,14.29,0.0
"(2, 86)",62.96,40.0,20.71,0.0,0.0,0.0
"(2, 92)",74.07,37.14,31.43,20.0,10.71,0.0
"(2, 95)",77.78,42.86,31.43,20.0,10.71,0.0
"(2, 104)",74.07,37.14,32.86,18.33,14.29,0.0
"(2, 116)",74.07,37.14,31.43,18.33,10.71,0.0
"(2, 119)",74.07,37.14,30.71,18.33,10.71,0.0
"(2, 122)",74.07,38.57,31.43,18.33,10.71,0.0
"(2, 128)",74.07,42.86,32.86,18.33,14.29,0.0
"(2, 134)",74.07,38.57,31.43,18.33,10.71,0.0
"(2, 137)",74.07,38.57,31.43,18.33,10.71,0.0
"(2, 146)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(2, 149)",74.07,38.57,31.43,18.33,10.71,0.0
"(2, 167)",74.07,38.57,32.86,18.33,10.71,0.0
"(2, 170)",74.07,37.14,32.86,20.0,10.71,0.0
"(2, 176)",100.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(2, 182)",81.48,45.71,10.71,3.33,0.0,0.0
"(2, 197)",74.07,44.29,32.86,18.33,14.29,0.0
"(2, 206)",74.07,38.57,32.86,20.0,10.71,0.0
"(2, 212)",74.07,38.57,30.71,20.0,10.71,0.0
"(2, 215)",74.07,44.29,32.86,18.33,14.29,0.0
"(2, 221)",74.07,41.43,32.14,18.33,10.71,0.0
"(2, 260)",74.07,40.0,32.86,20.0,10.71,0.0
"(2, 266)",77.78,41.43,31.43,18.33,10.71,0.0
"(2, 269)",70.37,38.57,32.86,18.33,14.29,0.0
"(2, 272)",74.07,37.14,31.43,18.33,10.71,0.0
"(2, 278)",74.07,37.14,31.43,20.0,10.71,0.0
"(2, 281)",74.07,37.14,30.71,18.33,10.71,0.0
"(2, 287)",74.07,35.71,30.0,18.33,10.71,0.0
"(2, 293)",74.07,40.0,32.86,18.33,10.71,0.0
"(2, 296)",74.07,37.14,31.43,18.33,10.71,0.0
