,0,1,2
"(2, 10)",70.1,30.5,0.0
"(2, 13)",61.86,33.5,0.0
"(2, 16)",74.23,45.0,0.0
"(2, 22)",72.16,28.5,0.0
"(2, 25)",67.01,33.0,0.0
"(2, 31)",64.95,47.0,0.0
"(2, 34)",64.95,34.0,0.0
"(2, 40)",68.04,52.0,0.0
"(2, 49)",68.04,34.5,0.0
"(2, 52)",68.04,34.5,0.0
"(2, 55)",67.01,35.0,0.0
"(2, 58)",61.86,34.5,0.0
"(2, 61)",77.32,27.0,0.0
"(2, 64)",64.95,34.0,0.0
"(2, 67)",68.04,32.5,0.0
"(2, 73)",64.95,35.0,0.0
"(2, 76)",69.07,29.0,0.0
"(2, 79)",65.98,52.5,46.88
"(2, 85)",68.04,62.5,0.0
"(2, 88)",100.0,-1.0,-1.0
"(2, 91)",65.98,32.5,0.0
"(2, 94)",79.38,26.5,0.0
"(4, 13)",67.01,34.0,0.0
"(4, 16)",65.98,53.0,46.88
"(4, 19)",63.92,51.0,46.88
"(4, 22)",61.86,35.0,0.0
"(4, 25)",62.89,50.5,46.88
"(4, 28)",78.35,26.0,0.0
"(4, 31)",74.23,34.0,0.0
"(4, 34)",62.89,51.5,46.88
"(4, 40)",64.95,34.0,0.0
"(4, 43)",65.98,50.0,46.88
"(4, 46)",60.82,37.0,0.0
"(4, 49)",78.35,27.0,0.0
"(4, 52)",79.38,44.5,28.12
"(4, 61)",88.66,32.5,0.0
"(4, 64)",62.89,51.0,46.88
"(4, 67)",87.63,34.0,0.0
"(4, 70)",77.32,44.5,40.62
"(4, 76)",87.63,34.5,0.0
"(4, 79)",65.98,51.0,46.88
"(4, 82)",88.66,32.5,0.0
"(4, 85)",87.63,33.5,0.0
"(4, 88)",65.98,34.5,0.0
"(4, 91)",65.98,46.5,0.0
"(4, 97)",63.92,50.5,46.88
"(5, 10)",76.29,29.5,0.0
"(5, 13)",70.1,31.0,0.0
"(5, 16)",63.92,49.5,46.88
"(5, 19)",75.26,45.5,34.38
"(5, 22)",69.07,34.5,0.0
"(5, 25)",65.98,37.5,0.0
"(5, 28)",71.13,28.5,0.0
"(5, 31)",70.1,30.0,0.0
"(5, 34)",76.29,44.5,34.38
"(5, 37)",90.72,30.0,0.0
"(5, 40)",77.32,30.0,0.0
"(5, 43)",86.6,30.0,0.0
"(5, 46)",78.35,25.5,0.0
"(5, 49)",87.63,34.0,0.0
"(5, 52)",69.07,30.5,0.0
"(5, 55)",88.66,35.0,0.0
"(5, 58)",62.89,48.5,50.0
"(5, 61)",88.66,29.0,0.0
"(5, 64)",68.04,30.5,0.0
"(5, 67)",68.04,48.0,46.88
"(5, 70)",65.98,50.0,50.0
"(5, 73)",87.63,19.5,0.0
"(5, 76)",88.66,32.5,0.0
"(5, 79)",65.98,49.0,46.88
"(5, 82)",88.66,32.0,0.0
"(5, 85)",65.98,34.0,0.0
"(5, 88)",68.04,31.0,0.0
"(5, 91)",82.47,34.0,0.0
"(5, 94)",68.04,50.0,46.88
"(5, 97)",81.44,48.0,0.0
"(6, 10)",61.86,38.5,0.0
"(6, 13)",67.01,33.0,0.0
"(6, 16)",73.2,27.5,0.0
"(6, 19)",82.47,32.0,0.0
"(6, 22)",78.35,26.5,0.0
"(6, 25)",69.07,44.0,40.62
"(6, 28)",65.98,32.5,0.0
"(6, 31)",63.92,50.0,46.88
"(6, 34)",69.07,28.5,0.0
"(6, 37)",84.54,37.0,0.0
"(6, 40)",71.13,28.5,0.0
"(6, 43)",69.07,30.0,0.0
"(6, 46)",60.82,34.0,0.0
"(6, 49)",87.63,33.5,0.0
"(6, 52)",71.13,28.5,0.0
"(6, 55)",87.63,32.5,0.0
"(6, 58)",61.86,34.5,0.0
"(6, 61)",67.01,51.0,46.88
"(6, 64)",86.6,36.0,0.0
"(6, 67)",81.44,25.5,0.0
"(6, 70)",87.63,32.5,0.0
"(6, 73)",76.29,45.0,28.12
"(6, 76)",91.75,27.0,0.0
"(6, 79)",78.35,44.5,34.38
"(6, 82)",81.44,26.0,0.0
"(6, 85)",61.86,51.0,46.88
"(6, 88)",88.66,32.5,0.0
"(6, 91)",88.66,32.5,0.0
"(6, 94)",87.63,34.0,0.0
"(6, 97)",88.66,32.5,0.0
"(7, 10)",78.35,26.5,0.0
"(7, 13)",71.13,29.0,0.0
"(7, 16)",88.66,28.5,0.0
"(7, 19)",87.63,35.5,0.0
"(7, 22)",74.23,28.0,0.0
"(7, 25)",78.35,28.5,0.0
"(7, 28)",64.95,35.5,0.0
"(7, 31)",70.1,31.0,0.0
"(7, 34)",74.23,44.5,34.38
"(7, 37)",85.57,35.0,0.0
"(7, 40)",71.13,29.0,0.0
"(7, 43)",62.89,49.5,46.88
"(7, 46)",64.95,33.0,0.0
"(7, 49)",63.92,50.5,46.88
"(7, 52)",79.38,26.5,0.0
"(7, 55)",67.01,51.0,46.88
"(7, 58)",90.72,29.5,0.0
"(7, 61)",71.13,29.0,0.0
"(7, 64)",87.63,33.0,0.0
"(7, 67)",78.35,45.5,31.25
"(7, 70)",71.13,28.0,0.0
"(7, 73)",73.2,29.0,0.0
"(7, 76)",79.38,26.5,0.0
"(7, 79)",68.04,34.0,0.0
"(7, 82)",89.69,30.5,0.0
"(7, 85)",73.2,46.5,37.5
"(7, 88)",88.66,32.5,0.0
"(7, 91)",88.66,32.5,0.0
"(7, 94)",87.63,33.0,0.0
"(7, 97)",90.72,29.0,0.0
