,0,1,2
"(2, 10)",75.26,44.5,34.38
"(2, 16)",70.1,29.5,0.0
"(2, 19)",63.92,50.0,46.88
"(2, 22)",68.04,34.5,0.0
"(2, 25)",64.95,51.5,46.88
"(2, 28)",67.01,33.5,0.0
"(2, 31)",89.69,30.0,0.0
"(2, 34)",72.16,45.5,34.38
"(2, 37)",87.63,33.0,0.0
"(2, 40)",88.66,28.0,0.0
"(2, 43)",88.66,32.5,0.0
"(2, 46)",100.0,-1.0,-1.0
"(2, 49)",86.6,33.5,0.0
"(2, 52)",88.66,25.5,0.0
"(2, 58)",89.69,33.0,0.0
"(2, 61)",69.07,33.5,0.0
"(2, 64)",87.63,34.0,0.0
"(2, 67)",60.82,39.0,0.0
"(2, 70)",87.63,32.5,0.0
"(2, 73)",88.66,30.5,0.0
"(2, 76)",87.63,34.0,0.0
"(2, 79)",86.6,29.5,0.0
"(2, 82)",87.63,33.5,0.0
"(2, 85)",81.44,31.5,0.0
"(2, 88)",85.57,34.0,0.0
"(2, 91)",65.98,35.0,0.0
"(2, 94)",63.92,51.0,46.88
"(2, 97)",89.69,34.5,0.0
