,0,1,2
"(2, 10)",52.58,67.5,0.0
"(2, 13)",81.44,25.5,0.0
"(2, 16)",68.04,34.0,0.0
"(2, 19)",63.92,36.5,0.0
"(2, 25)",80.41,29.0,0.0
"(2, 28)",62.89,35.5,0.0
"(2, 31)",78.35,42.5,0.0
"(2, 34)",67.01,49.5,46.88
"(2, 37)",79.38,32.0,0.0
"(2, 49)",70.1,29.0,0.0
"(2, 52)",64.95,34.0,0.0
"(2, 55)",61.86,36.5,0.0
"(2, 61)",63.92,34.0,0.0
"(2, 64)",81.44,31.5,0.0
"(2, 73)",68.04,34.0,0.0
"(2, 76)",73.2,52.0,0.0
"(2, 79)",72.16,30.5,0.0
"(2, 82)",71.13,52.0,0.0
"(2, 85)",67.01,33.0,0.0
"(2, 97)",88.66,34.5,0.0
