,0,1,2
"(2, 'linear', 1)",65.26,55.86,35.29
"(2, 'linear', 4)",65.26,53.1,50.0
"(2, 'linear', 7)",91.58,31.72,0.0
"(2, 'linear', 10)",92.63,25.52,0.0
"(2, 'linear', 13)",74.74,48.28,32.35
"(2, 'linear', 19)",62.11,54.48,52.94
"(2, 'linear', 22)",66.32,51.03,55.88
"(2, 'linear', 25)",67.37,53.79,50.0
"(2, 'linear', 28)",71.58,48.28,50.0
"(2, 'linear', 31)",62.11,54.48,52.94
"(2, 'linear', 37)",64.21,53.1,55.88
"(2, 'linear', 46)",62.11,53.79,52.94
"(2, 'linear', 49)",61.05,53.1,55.88
"(2, 'linear', 52)",68.42,54.48,52.94
"(2, 'linear', 55)",61.05,51.72,55.88
"(2, 'linear', 64)",63.16,51.72,55.88
"(2, 'linear', 73)",62.11,54.48,52.94
"(2, 'linear', 76)",64.21,53.79,52.94
"(2, 'linear', 82)",63.16,52.41,55.88
"(2, 'linear', 88)",64.21,53.1,55.88
"(2, 'linear', 91)",66.32,53.1,50.0
"(3, 'linear', 1)",87.37,35.86,0.0
"(3, 'linear', 4)",68.42,54.48,50.0
"(3, 'linear', 7)",66.32,38.62,67.65
"(3, 'linear', 10)",66.32,57.24,32.35
"(3, 'linear', 13)",54.74,57.24,64.71
"(3, 'linear', 25)",69.47,48.97,50.0
"(3, 'linear', 34)",65.26,50.34,50.0
"(3, 'linear', 43)",64.21,53.79,55.88
"(3, 'linear', 46)",64.21,51.72,50.0
"(3, 'linear', 55)",61.05,53.1,52.94
"(3, 'linear', 64)",65.26,53.1,50.0
"(3, 'linear', 67)",66.32,53.1,50.0
"(3, 'linear', 73)",61.05,53.79,52.94
"(3, 'linear', 82)",61.05,52.41,50.0
"(3, 'linear', 88)",63.16,53.79,55.88
"(3, 'linear', 91)",63.16,55.17,50.0
"(3, 'linear', 97)",61.05,52.41,55.88
"(4, 'linear', 1)",84.21,36.55,0.0
"(4, 'linear', 4)",64.21,55.86,32.35
"(4, 'linear', 13)",50.53,24.14,61.76
"(4, 'linear', 16)",85.26,41.38,0.0
"(4, 'linear', 31)",64.21,51.03,55.88
"(4, 'linear', 43)",64.21,53.1,52.94
"(4, 'linear', 46)",66.32,51.03,52.94
"(4, 'linear', 52)",63.16,52.41,52.94
"(4, 'linear', 58)",62.11,52.41,55.88
"(4, 'linear', 64)",61.05,53.1,52.94
"(4, 'linear', 67)",63.16,52.41,55.88
"(4, 'linear', 70)",61.05,53.79,55.88
"(4, 'linear', 73)",64.21,52.41,52.94
"(4, 'linear', 76)",64.21,52.41,55.88
"(4, 'linear', 79)",64.21,51.72,55.88
"(4, 'linear', 82)",62.11,52.41,52.94
"(4, 'linear', 88)",63.16,51.72,55.88
"(4, 'linear', 91)",61.05,53.1,55.88
"(4, 'linear', 94)",61.05,51.72,52.94
"(4, 'linear', 97)",64.21,52.41,55.88
