,0,1,2
"(2, 'linear', 1)",85.26,37.24,0.0
"(2, 'linear', 4)",81.05,40.0,17.65
"(2, 'linear', 7)",75.79,42.07,23.53
"(2, 'linear', 10)",71.58,52.41,32.35
"(2, 'linear', 13)",78.95,37.93,20.59
"(2, 'linear', 19)",76.84,42.07,23.53
"(2, 'linear', 28)",61.05,53.1,52.94
"(2, 'linear', 31)",70.53,50.34,44.12
"(2, 'linear', 34)",65.26,52.41,55.88
"(2, 'linear', 37)",67.37,53.1,50.0
"(2, 'linear', 46)",65.26,53.1,50.0
"(2, 'linear', 52)",65.26,53.1,52.94
"(2, 'linear', 58)",61.05,52.41,52.94
"(2, 'linear', 61)",65.26,51.72,55.88
"(2, 'linear', 73)",62.11,51.72,52.94
"(2, 'linear', 79)",65.26,53.1,50.0
"(2, 'linear', 82)",62.11,52.41,52.94
"(2, 'linear', 85)",63.16,55.17,52.94
"(2, 'linear', 88)",62.11,52.41,55.88
"(2, 'linear', 91)",64.21,53.1,52.94
"(2, 'linear', 97)",69.47,55.17,47.06
"(2, 'linear', 100)",62.11,53.79,55.88
"(2, 'linear', 103)",62.11,53.79,52.94
"(2, 'linear', 106)",62.11,52.41,55.88
"(2, 'linear', 109)",62.11,52.41,55.88
"(2, 'linear', 121)",61.05,53.1,52.94
"(2, 'linear', 124)",62.11,53.79,52.94
"(2, 'linear', 136)",63.16,53.1,52.94
"(2, 'linear', 139)",62.11,55.17,52.94
"(2, 'linear', 151)",61.05,53.1,55.88
"(2, 'linear', 163)",61.05,53.79,52.94
"(2, 'linear', 166)",61.05,53.1,52.94
"(2, 'linear', 172)",63.16,53.1,52.94
"(2, 'linear', 178)",62.11,53.1,52.94
"(2, 'linear', 187)",63.16,52.41,52.94
"(2, 'linear', 190)",62.11,52.41,52.94
"(2, 'linear', 199)",63.16,53.79,52.94
"(2, 'linear', 205)",64.21,53.1,55.88
"(2, 'linear', 211)",61.05,54.48,52.94
"(2, 'linear', 214)",61.05,52.41,52.94
"(2, 'linear', 217)",61.05,53.1,52.94
"(2, 'linear', 220)",62.11,53.79,55.88
"(2, 'linear', 232)",61.05,52.41,55.88
"(2, 'linear', 238)",62.11,53.1,52.94
"(2, 'linear', 241)",62.11,52.41,52.94
"(2, 'linear', 244)",62.11,53.1,52.94
"(2, 'linear', 247)",61.05,53.79,55.88
"(2, 'linear', 265)",61.05,53.79,55.88
"(2, 'linear', 274)",61.05,53.79,52.94
"(2, 'linear', 277)",62.11,53.1,52.94
"(2, 'linear', 280)",63.16,53.1,52.94
"(2, 'linear', 283)",62.11,52.41,52.94
"(2, 'linear', 286)",62.11,54.48,52.94
