,0,1,kmeans_cluster
198,-22.439224,-133.85834,0
199,-14.817897,-137.91331,0
200,-38.472393,-156.16083,2
201,-26.179071,-142.62231,2
202,-12.48138,-133.0146,0
203,-33.49806,-148.23758,2
204,-33.74925,-152.93228,2
205,-10.330949,-139.16576,0
206,-25.901249,-142.6544,2
207,-12.90474,-134.4113,0
208,-13.996603,-145.55086,0
209,19.092403,-146.85992,0
210,-6.0168204,-153.20636,0
211,-0.19113868,-150.06673,0
212,1.2119642,-139.60127,0
213,-3.2945762,-151.18576,0
214,-25.680473,-139.53876,2
215,-1.604936,-141.58055,0
216,-12.75768,-141.99478,0
217,-35.976933,-151.04073,2
218,-5.91176,-149.13554,0
219,-39.330845,-147.21053,2
220,-19.310705,-139.68816,0
221,-7.796472,-146.95114,0
222,0.7435041,-134.11446,0
223,-4.115785,-148.60883,0
224,-199.33968,-219.11504,1
225,-41.367447,-160.9457,2
226,13.287906,-142.39331,0
227,9.568288,-142.79951,0
228,-70.95643,-167.43115,2
229,-12.548879,-158.32022,0
230,-30.197723,-146.26286,2
231,-0.94411033,-142.59276,0
232,-2.6680884,-148.21675,0
233,-11.839959,-150.29709,0
234,-1.1275343,-147.6988,0
235,-66.71075,-149.87047,2
236,-13.151552,-144.99467,0
237,-14.73808,-139.05363,0
238,20.75263,-135.44646,0
239,-20.857845,-151.03485,2
240,0.36123902,-138.57053,0
241,7.7414155,-144.56581,0
242,-17.873648,-151.65488,0
243,-17.978138,-146.1283,0
244,-3.1386275,-139.95457,0
245,-19.042278,-147.32018,0
246,-12.127207,-140.81467,0
247,-16.642813,-144.26967,0
248,-45.97414,-158.83163,2
249,5.650582,-150.03691,0
250,-10.390918,-143.81694,0
251,-46.096157,-146.03482,2
252,0.0029741004,-145.3132,0
253,-9.185212,-150.06293,0
254,5.229445,-142.80083,0
255,-42.433582,-135.00874,2
256,-2.0531077,-144.88133,0
257,-30.623648,-143.98164,2
258,-10.054318,-142.37463,0
259,-30.490929,-147.26155,2
260,-23.25752,-147.89195,2
261,-7.2241626,-154.3829,0
262,-11.459033,-151.41809,0
263,-35.905254,-144.83745,2
264,-67.12602,-171.92957,2
265,9.5109415,-143.10616,0
266,-25.59133,-131.7274,2
267,2.6966786,-139.38513,0
268,-24.019186,-151.07196,2
269,-4.467647,-142.40059,0
270,-32.822567,-144.19241,2
271,-8.325219,-153.46483,0
272,1.9322592,-145.76672,0
273,-7.1193023,-150.49,0
274,-15.143895,-150.88278,0
275,0.25268227,-142.22057,0
276,-16.167757,-148.13254,0
277,-11.491368,-147.1047,0
278,6.657226,-135.8043,0
279,-15.146163,-148.19328,0
280,-10.984794,-142.01707,0
281,-50.522423,-161.5851,2
282,-18.213636,-144.44017,0
283,-16.072634,-136.03969,0
284,-7.086103,-143.17308,0
285,14.781415,-138.53502,0
286,-43.997883,-151.13274,2
287,-14.703725,-151.48773,0
288,-26.242842,-150.63968,2
289,-13.418672,-143.22232,0
290,-30.496708,-141.6896,2
291,-0.31195396,-144.19505,0
292,-17.242128,-140.23653,0
293,-26.06367,-142.73032,2
294,-4.7771945,-146.26064,0
295,-12.328094,-143.90582,0
296,-10.776544,-144.87733,0
297,-6.1146064,-143.1135,0
298,4.9522347,-144.29613,0
299,-3.9907432,-143.0772,0
300,-50.217655,-145.63747,2
301,-5.1189475,-145.69267,0
302,-0.30479187,-147.7519,0
303,-33.571697,-148.48476,2
304,1.5277544,-142.53094,0
305,-8.018476,-144.37398,0
306,-198.09416,-206.99887,1
307,-149.95757,-198.7343,1
308,-15.386733,-140.16277,0
309,-6.304998,-142.75131,0
310,5.1031637,-135.60756,0
311,-16.436613,-144.33008,0
312,3.7576928,-155.07942,0
313,-27.35356,-150.2926,2
314,-33.31715,-151.0171,2
315,-13.582414,-148.017,0
316,-60.2559,-160.83253,2
317,-3.1050735,-138.54341,0
318,-28.785208,-154.86743,2
319,-32.069107,-153.01169,2
320,11.255555,-149.46385,0
321,-4.4253287,-143.5929,0
322,-9.935254,-144.60399,0
323,-2.5321136,-145.45515,0
324,-43.423748,-152.2041,2
325,-22.398027,-136.70705,0
326,-20.224321,-157.07884,2
327,-38.4814,-152.61868,2
328,-21.260824,-147.62953,2
