,0,1,2
"(2, 2)",85.57,30.0,0.0
"(2, 5)",63.92,50.0,46.88
"(2, 11)",56.7,60.5,46.88
"(2, 14)",64.95,51.0,46.88
"(2, 17)",100.0,-1.0,-1.0
"(2, 20)",53.61,42.0,78.12
"(2, 29)",51.55,44.0,78.12
"(2, 32)",50.52,42.5,78.12
"(2, 35)",64.95,50.5,46.88
"(2, 41)",69.07,46.5,46.88
"(2, 44)",68.04,33.5,0.0
"(2, 47)",64.95,50.0,46.88
"(2, 50)",63.92,50.5,46.88
"(2, 53)",63.92,51.0,46.88
"(2, 56)",64.95,51.5,46.88
"(2, 59)",60.82,34.5,0.0
"(2, 62)",68.04,37.0,0.0
"(2, 65)",67.01,51.0,46.88
"(2, 68)",68.04,49.0,46.88
"(2, 71)",64.95,51.5,46.88
"(2, 77)",67.01,49.0,46.88
"(2, 80)",67.01,49.5,46.88
"(2, 83)",67.01,51.5,46.88
"(2, 89)",63.92,36.5,0.0
"(2, 95)",80.41,23.5,0.0
"(2, 98)",55.67,60.5,50.0
"(2, 101)",83.51,42.0,0.0
"(2, 104)",63.92,51.0,46.88
"(2, 107)",61.86,54.0,46.88
"(2, 110)",65.98,52.5,46.88
"(2, 113)",68.04,49.0,46.88
"(2, 122)",67.01,49.5,46.88
"(2, 128)",62.89,42.5,0.0
"(2, 131)",86.6,36.5,0.0
"(2, 134)",65.98,52.0,46.88
"(2, 143)",65.98,51.5,46.88
"(2, 146)",65.98,50.0,46.88
"(2, 149)",65.98,51.5,46.88
"(2, 152)",57.73,63.5,0.0
"(2, 158)",67.01,50.5,46.88
"(2, 161)",65.98,28.5,0.0
"(2, 164)",62.89,50.5,46.88
"(2, 170)",86.6,38.5,0.0
"(2, 173)",61.86,44.5,0.0
"(2, 179)",69.07,32.0,0.0
"(2, 182)",65.98,49.0,46.88
"(2, 185)",54.64,44.0,78.12
"(2, 188)",69.07,54.0,0.0
"(2, 194)",67.01,51.0,46.88
"(2, 197)",64.95,36.5,0.0
"(2, 203)",67.01,49.5,46.88
"(2, 206)",67.01,50.0,46.88
"(2, 212)",100.0,-1.0,-1.0
"(2, 215)",75.26,25.5,0.0
"(2, 218)",65.98,51.0,46.88
"(2, 221)",74.23,50.0,0.0
"(2, 224)",60.82,36.0,78.12
"(2, 227)",65.98,51.5,46.88
"(2, 230)",83.51,41.5,0.0
"(2, 233)",68.04,49.5,46.88
"(2, 236)",65.98,52.5,46.88
"(2, 239)",100.0,-1.0,-1.0
"(2, 245)",67.01,50.0,46.88
"(2, 248)",67.01,51.5,46.88
"(2, 251)",65.98,50.5,46.88
"(2, 254)",65.98,52.0,46.88
"(2, 257)",65.98,51.5,46.88
"(2, 260)",64.95,51.0,46.88
"(2, 266)",60.82,41.0,78.12
"(2, 269)",61.86,63.0,0.0
"(2, 272)",69.07,45.5,46.88
"(2, 275)",65.98,52.5,46.88
"(2, 278)",100.0,-1.0,-1.0
"(2, 281)",68.04,49.0,46.88
"(2, 284)",64.95,35.0,0.0
"(2, 287)",65.98,52.0,46.88
"(2, 290)",64.95,50.0,50.0
"(2, 293)",72.16,26.5,0.0
"(2, 296)",80.41,51.5,0.0
